paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
70008,7,5019,90000705,,守卫5（推箱子）,2,,,,,,
70009,7,16003,,,推箱子门,,,,,,,
70010,7,72003,,70002,强化石1,,,,,,,
70011,7,5017,90000706,,守卫6（石球）,2,,,,,,
70012,7,20001,,,石球机关,,,,,,,
70013,7,72001,,70003,金币1,,,,,,,
70014,7,43001,,,藤蔓吊桥,,,,5,-1,,
70015,7,71001,,70004,武器1,,,,,,,
70016,7,2001,,,刷怪区域1,4,,,,,1,"6,5,-1,14,1,3000,24,5,-1,36,6,-1,50,5,-1,66,2,4500,84,5,-1,104,5,-1,126,6,-1,150,3,6500,176,5,-1,204,6,-1,234,3,8500,270,5,-1,310,6,-1"
70017,7,5012,90000707,,守卫7,2,,,,,,
70018,7,5011,90000708,,守卫8（浮桥机关）,2,,,,,,
70019,7,6001,,,浮桥机关,,,,4,4000,,
70020,7,66002,,70005,护甲2,,,,,,,
70021,7,5013,90000709,,守卫9,2,,,,,,
70022,7,5018,90000710,,守卫10（大炮炮弹）,3,,,,,,
70023,7,48001,,,大炮,,,,5,-1,,
70024,7,5010,90000711,,守卫11（护盾）,3,,,,,,
70025,7,10001,,,炸弹,,,,,,,
70026,7,72002,,70006,强化石2,,,,,,,
70027,7,5008,90000712,,守卫12（金币）,3,,,,,,
70028,7,72004,,70007,金币2,,,,,,,
70029,7,71002,,70008,武器2,,,,,,,
70030,7,2003,,,刷怪区域2,5,,,,,2,"6,5,-1,14,1,3000,24,5,-1,36,2,5000,50,5,-1,66,3,7000,84,6,-1,104,6,-1,126,6,-1,150,6,-1,176,6,-1,204,6,-1,234,6,-1,264,6,-1,296,6,-1,330,6,-1"
70031,7,5006,90000713,,守卫13,3,,,,,,
70032,7,5005,90000714,,守卫14（激光发射）,3,,,,,,
70033,7,16005,,,激光镜门,,,,,,,
70034,7,41001,,,深坑,,,,,,,
70035,7,66003,,70009,护甲3,,,,,,,
70036,7,5007,90000715,,守卫15（金币）,3,,,,,,
70037,7,66004,,70011,金币3,,,,,,,
70038,7,5004,90000716,,守卫16,3,,,,,,
70039,7,5003,90000717,,守卫17（木头）,3,,,,,,
70040,7,28001,,,断桥,,,,1,4000,,
70041,7,21001,,,岩浆球,,,,,,,
70042,7,30001,,,火门,,,,,,,
70043,7,5009,90000718,,守卫18（梯子攀爬）,3,,,,,,
70044,7,9001,,,梯子攀爬,,,,,,,
70045,7,5002,90000719,,守卫19（强化石）,3,,,,,,
70046,7,72005,,70012,强化石3,,,,,,,
70047,7,17001,,,小芽,,,,6,-1,,
70048,7,71003,,70013,武器3,,,,,,,
70049,7,2009,,,刷怪区域3,6,,,,,3,"5,5,-1,12,6,-1,18,6,-1"
