paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
54090001,5409,1,0,3541800,受到伤害提高,技能效果-通用,受到全属性伤害提高,受到伤害提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3541801:1,2,500,3541802:1,1,0,0:0,1,0,0,3541805:1,4000,0:0,10000,3541807:1,1,3,0:0,1,0,3541801:1,3541801:2,3541801:3010101,3541801:2000
54100001,5410,1,0,3542000,持续伤害提高,技能效果-通用,全属性持续伤害提高,持续伤害提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3542001:1,2,500,3542002:1,1,0,0:0,1,0,0,3542005:1,4000,0:0,10000,3542007:1,1,3,0:0,1,0,3542001:1,3542001:2,3542001:3010101,3542001:2000
54110001,5411,1,0,3542200,受到持续伤害提高,技能效果-通用,受到全属性持续伤害提高,受到持续伤害提高【参数1万分比】+【参数2固定值】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3542201:1,2,500,3542202:1,1,0,0:0,1,0,0,3542205:1,4000,0:0,10000,3542207:1,1,3,0:0,1,0,3542201:1,3542201:2,3542201:3010101,3542201:2000
54120001,5412,1,0,3542400,移动速度提高,技能效果-通用,移动速度提高,移动速度提高【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3542401:1,2,500,0:0,1,0,0:0,1,0,0,3542405:1,4000,0:0,10000,3542407:1,1,3,0:0,1,0,3542401:1,3542401:2,3542401:3010101,3542401:2000
54130001,5413,1,0,3542600,获取护盾提高,技能效果-通用,获取护盾提高,获取护盾提高【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3542601:1,2,500,0:0,1,0,0:0,1,0,0,3542605:1,4000,0:0,10000,3542607:1,1,3,0:0,1,0,3542601:1,3542601:2,3542601:3010101,3542601:2000
54140001,5414,1,0,3542800,造成伤害总加成,技能效果-通用,获取护盾提高,造成的伤害总加成【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3542801:1,2,5000,0:0,1,0,0:0,1,0,0,3542805:1,-1,0:0,10000,3542807:1,1,3,0:0,1,0,3542801:1,3542801:2,3542801:3010101,3542801:2000
54150001,5415,1,0,3543000,受到的伤害总加成,技能效果-通用,获取护盾提高,受到的伤害总加成【参数1万分比】，持续时间【参数5持续时间】，最大可叠加【参数7】层,3543001:1,2,3500,0:0,1,0,0:0,1,0,0,3543005:1,-1,0:0,10000,3543007:1,1,1,0:0,1,0,3543001:1,3543001:2,3543001:3010101,3543001:2000
59130001,5913,1,0,3591000,普攻击中回血,技能效果-生存,,,0:0,1,0,3592201:1,1,0,3592202:1,3,0,0,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
59140001,5914,1,0,3592400,普攻击中回血效果提高,技能效果-生存,,,3592401:1,2,0,0:0,1,0,0:0,1,0,0,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
85001500,5501,1,0,5001600,冰弹概率附加冰冻,技能效果-额外效果,,冰冻状态（无法攻击和移动），持续时间【参数5】，状态命中率【参数6】,0:0,1,0,0:0,1,0,0:0,1,0,0,5001502:1,2000,5001501:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
85101100,5601,1,0,5101200,燃烧状态,技能效果-火,燃烧状态,每【参数8】（默认1000）毫秒，造成{[火元素直接伤害]【参数1万分比】（默认0%）}，【参数2】（默认0）的[额外火元素持续伤害]，效果持续【参数5】（默认3）毫秒，最大可叠加【参数7】（默认1）层,5101201:1,2,0,5101202:1,1,0,0:0,1,0,0,5101205:1,0,5101206:1,10000,0:0,1,1,5101208:2,1,1000,0:0,0:0,0:0,0:0
85200700,5701,1,0,5200800,雷击概率附加麻痹,技能效果-额外效果,,麻痹状态（无法攻击和移动），持续时间【参数5】，状态命中率【参数6】,0:0,1,0,0:0,1,0,0:0,1,0,0,5200702:1,0,5200701:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820001,20001,1,0,820001,炎域-燃烧状态,技能效果-火,炎域-燃烧状态,每【参数8】（默认1000）毫秒，造成{[火元素直接伤害]【参数1万分比】（默认50%）}，【参数2】（默认0）的[额外火元素持续伤害]，效果持续【参数5】（默认1200）毫秒，最大可叠加【参数7】（默认1）层,8200011:1,2,5000,8200012:1,1,0,0:0,1,0,0,8200015:1,1200,0:0,10000,0:0,1,1,8200018:1,1,1000,0:0,0:0,0:0,0:0
820011,20011,1,0,820011,毒爆,技能效果-毒,,每【参数8】（默认1000）毫秒，造成{[毒元素直接伤害]【参数1万分比】（默认25%）}，【参数2】（默认0）的[额外毒元素持续伤害]，效果持续【参数5】（默认4000）毫秒，最大可叠加【参数7】（默认1）层；持续时间结束前目标死亡触发技能毒爆【参数4】,8200111:1,2,2500,8200112:1,1,0,0:0,1,0,20012,8200115:1,4000,0:0,10000,0:0,1,1,8200118:1,1,1000,0:0,0:0,0:0,0:0
820031,101,1,0,5200800,闪电链概率附加麻痹,技能效果-额外效果,,闪电链附加麻痹状态（无法攻击和移动），持续时间【参数5】（默认1000）毫秒，状态命中率【参数6】（默认20%）,0:0,1,0,0:0,1,0,0:0,1,0,0,5200702:1,1000,5200701:1,2000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820034,20034,1,0,820034,连环闪电,技能效果-额外效果,,击杀敌人时再次释放闪电链【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20031,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820051,101,1,0,5200800,电刃普攻概率附加麻痹,技能效果-额外效果,,电刃普攻麻痹状态（无法攻击和移动），持续时间【参数5】（默认1000）毫秒，状态命中率【参数6】（默认20%）,0:0,1,0,0:0,1,0,0:0,1,0,0,5200712:1,1000,5200711:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820054,20054,1,0,820054,天罚,技能效果-额外效果,,击杀敌人时再次释放超强电刃【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20053,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820061,102,1,0,5001800,暴风雪概率附加减速,技能效果-额外效果,,暴风雪减速状态（万分比降低移速【参数1】和攻速【参数2】），持续时间【参数5】毫秒，状态命中率【参数6】,5001701:1,2,6000,5001702:1,2,6000,0:0,1,0,0,5001705:1,3000,5001706:1,2000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
821061,105,1,0,5001600,暴风雪概率附加冰冻,技能效果-额外效果,,暴风雪冰冻状态（无法攻击和移动），持续时间【参数5】毫秒，状态命中率【参数6】,0:0,1,0,0:0,1,0,0:0,1,0,0,5001502:1,3000,5001501:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820072,20072,1,0,820072,冰爆被动,技能效果-额外效果,,冰冻状态结束时触发冰爆技能【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20071,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820073,20073,1,0,820073,冰风暴,技能效果-额外效果,,击杀敌人时释放超级暴风雪技能【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20074,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820080,102,1,0,5001800,冰刃概率附加减速,技能效果-额外效果,,冰刃减速状态（万分比降低攻速【参数1】和移速【参数2】），持续时间【参数5】毫秒，状态命中率【参数6】,5001711:1,2,4500,5001712:1,2,4500,0:0,1,0,0,5001715:1,3000,5001716:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820081,105,1,0,5001600,冰球概率附加冰冻,技能效果-额外效果,,冰球冰冻状态（无法攻击和移动），持续时间【参数5】毫秒，状态命中率【参数6】,0:0,1,0,0:0,1,0,0:0,1,0,0,5001512:1,1000,5001511:1,0,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820082,20082,1,0,820082,极寒领域-冰冻立即死亡,技能效果-额外效果,,被冰冻的怪物将会立即死亡,0:0,1,0,0:0,1,0,0:0,1,0,0,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820083,20083,1,0,820083,极寒领域-召唤冰球,技能效果-额外效果,,击杀敌人时召唤一个冰球（释放技能）【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20083,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820085,105,1,0,5001600,冰雪领域附加冰冻,技能效果-额外效果,,冰雪领域冰冻状态（无法攻击和移动），持续时间【参数5】毫秒，状态命中率【参数6】,0:0,1,0,0:0,1,0,0:0,1,0,0,5001522:1,1000,5001521:1,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820086,20086,1,0,820086,冰雪领域-触发技能,技能效果-额外效果,,减速时概率【参数1】触发冰雪领域（释放技能）【参数4】,8200861:1,2,5000,0:0,1,0,0:0,1,0,20085,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820091,103,1,0,5101200,陨石燃烧状态,技能效果-火,燃烧状态,每【参数8】（默认1000）毫秒，造成{[火元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外火元素持续伤害]，效果持续【参数5】（默认3000）毫秒，最大可叠加【参数7】（默认1）层，状态命中率【参数6】,5101201:1,2,3000,5101202:1,1,0,0:0,1,0,0,5101205:1,3000,5101206:1,2000,0:0,1,1,5101208:2,1,1000,0:0,0:0,0:0,0:0
820101,103,1,0,5101200,火刃燃烧状态,技能效果-火,燃烧状态,每【参数8】（默认1000）毫秒，造成{[火元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外火元素持续伤害]，效果持续【参数5】（默认3000）毫秒，最大可叠加【参数7】（默认1）层，状态命中率【参数6】,5101211:1,2,3000,5101212:1,1,0,0:0,1,0,0,5101215:1,3000,5101216:1,0,0:0,1,1,5101218:2,1,1000,0:0,0:0,0:0,0:0
820094,20094,1,0,820094,毁天灭地-触发技能,技能效果-额外效果,,击杀敌人时释放爆炸火球技能【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20095,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820102,104,1,0,5101700,毒雾概率附加中毒,技能效果-毒,中毒状态,每【参数8】（默认1000）毫秒，造成{[毒元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外毒元素持续伤害]，效果持续【参数5】（默认3000）毫秒，最大可叠加【参数7】（默认1）层，状态命中率【参数6】,5101701:1,2,3000,5101702:1,1,0,0:0,1,0,0,5101705:1,3000,5101706:1,1500,0:0,1,1,5101708:2,1,1500,0:0,0:0,0:0,0:0
820103,20119,1,0,820095,传染被动,技能效果-额外效果,,中毒传染【参数4】，（默认传染范围半径为1.6）持续时间【参数5】毫秒，状态命中率【参数1】,5101722:1,2,2500,0:0,1,0,0:0,1,0,20119,5101721:1,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820104,104,1,0,5101700,毒刃概率附加中毒,技能效果-毒,中毒状态,每【参数8】（默认1000）毫秒，造成{[毒元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外毒元素持续伤害]，效果持续【参数5】（默认3000）毫秒，最大可叠加【参数7】（默认1）层，状态命中率【参数6】,5101711:1,2,3000,5101712:1,1,0,0:0,1,0,0,5101715:1,3000,5101716:1,0,0:0,1,1,5101718:2,1,1500,0:0,0:0,0:0,0:0
820105,20110,1,0,820096,毒性爆发被动,技能效果-额外效果,,毒性爆发【参数4】，状态命中率【参数1】，效果触发间隔【参数8】,5001723:1,2,10000,0:0,1,0,0:0,1,0,20110,0:0,-1,0:0,10000,0:0,1,1,51017232:1,1,2500,0:0,0:0,0:0,0:0
820106,20118,1,0,820097,精神错乱被动,技能效果-额外效果,,精神错乱【参数4】，持续时间【参数5】，状态命中率【参数1】,5001724:1,2,3000,0:0,1,0,0:0,1,0,20118,5101725:1,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820107,20107,1,0,820098,毒雨被动,技能效果-额外效果,,每击杀一个敌人会降下一片毒雨【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20107,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820108,20112,1,0,820099,尸爆被动,技能效果-额外效果,,中毒的敌人死亡时，会产生一次攻击力200%的范围伤害，并对范围内敌人造成中毒效果【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20112,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820109,20111,1,0,820100,流毒被动,技能效果-额外效果,,中毒的敌人死亡时会留下一滩毒液区域【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20111,0:0,-1,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820110,104,1,0,5101700,尸爆附加中毒,技能效果-毒,中毒状态,每【参数8】（默认1000）毫秒，造成{[毒元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外毒元素持续伤害]，效果持续【参数5】（默认3000）毫秒，状态命中率【参数6】,5101734:1,2,3000,5101735:1,2,3000,0:0,1,0,0,5101731:1,3000,5101730:1,10000,0:0,1,1,5101732:2,1,1500,0:0,0:0,0:0,0:0
820111,20118,1,0,820111,精神错乱给怪物被动,技能效果-毒,中毒状态,效果持续时间【参数5】，给怪物被动【参数4】,0:0,1,0,0:0,1,0,0:0,1,0,20118,5101733:1,4000,0:0,10000,0:0,1,1,0:0,1,0,0:0,0:0,0:0,0:0
820112,104,1,0,5101700,传染概率附加中毒,技能效果-毒,中毒状态,每【参数8】（默认1000）毫秒，造成{[毒元素直接伤害]【参数1万分比】（默认X%）}，【参数2】（默认0）的[额外毒元素持续伤害]，效果持续【参数5】（默认3000）毫秒,5101736:1,2,3000,5101737:1,2,3000,0:0,1,0,20118,5101734:1,3000,0:0,10000,0:0,1,1,5101735:2,1,1500,0:0,0:0,0:0,0:0
