paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
207003001,0,2,1,0:1,熊等级3,普通攻击,单体伤害,0,0,0:957,0:0,0:10000,0,1,3,2,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:10000,0:0,0:10000,0,0,0,0:0,0:0,0:0,0:0
59260001,3592200,4,1,0:1,,普攻击中回血,,0,0,1:159260001,1:259260001,1:359260001,0,0,2,1,1:459260001,1:559260001,1,0,"0,0,0,0,0",1:659260001,1:759260001,1:859260001,1:959260001,59130001,0,0,0:0,0:0,0:0,0:0
25010001,0,2,1,0:1,受到的伤害总加成,受到的伤害总加成,受到的伤害总加成，永久,0,0,0:0,0:0,0:10000,0,0,2,1,0:0,0:1,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,54150001,0,0,0:0,0:0,0:0,0:0
95000101,95000101,5,1,0:1,冰弹,冰弹,释放冰弹攻击敌方,0,0,1:195000101,1:295000101,1:395000101,0,0,1,2,1:495000101,1:595000101,1,1,"0,0,0,0,0",1:695000101,1:795000101,1:895000101,1:995000101,85001100,0,0,0:0,0:0,0:0,0:0
95100101,95100101,5,1,0:1,陨石,陨石,释放陨石攻击敌方,0,0,1:195100101,1:295100101,1:395100101,0,0,3,2,1:495100101,1:595100101,1,2,"0,0,0,0,0",1:695100101,1:795100101,1:895100101,1:995100101,0,0,0,0:0,0:0,0:0,0:0
95200101,95200101,5,1,0:1,雷击,雷击,释放4道雷击敌方,0,0,1:195200101,1:295200101,1:395200101,0,0,4,2,1:495200101,1:595200101,1,4,"0,0,0,0,0",1:695200101,1:795200101,1:895200101,1:995200101,0,0,0,0:0,0:0,0:0,0:0
20001,920001,5,1,0:1,炎域,炎域,炎域内每秒造成燃烧伤害,0,720001,1:1920001,1:2920001,1:3920001,0,1,5,2,1:4920001,1:5920001,1,2,"0,0,0,0,0",1:6920001,1:7920001,1:8920001,1:9920001,0,820001,0,1:10920001,1:11920001,0:0,0:0
20011,920011,5,1,0:1,普攻附加毒爆,普攻附加毒爆,,1,720011,1:1920011,1:2920011,1:3920011,0,1,1,2,1:4920011,1:5920011,1,3,"0,0,0,0,0",1:6920011,1:7920011,1:8920011,1:9920011,0,820011,0,0:0,0:0,0:0,0:0
20012,920012,6,1,0:1,毒爆,毒爆,毒爆，小范围AOE伤害,0,0,1:1920012,1:2920012,1:3920012,0,1,3,2,1:4920012,1:5920012,1,3,"0,0,0,0,0",1:6920012,1:7920012,1:8920012,1:9920012,0,820011,0,0:0,0:0,0:0,0:0
20021,920021,5,2,0:1,爆炎冲刺,爆炎冲刺,向目标方向冲刺挥砍，刀锋划出烈火，对目标造成火属性伤害,0,0,1:1920021,1:2920021,1:3920021,0,0,1,2,1:4920021,1:5920021,1,2,"0,0,0,0,0",1:6920021,1:7920021,1:8920021,1:9920021,0,0,0,0:0,0:0,0:0,0:0
20022,920022,9,4,0:1,爆炎冲刺_升龙击,升龙击,爆炎冲刺收招后追加释放升龙击，造成火属性伤害和击飞,18,720022,1:1920022,1:2920022,1:3920022,0,1,1,2,1:4920022,1:5920022,1,2,"0,0,0,0,0",1:6920022,1:7920022,1:8920022,1:9920022,0,0,0,0:0,0:0,0:0,0:0
20023,920023,9,3,0:1,爆炎冲刺_爆炎砸地,爆炎砸地,释放爆炎冲刺3次后，接1次大范围砸地造成火属性伤害,18,720023,1:1920023,1:2920023,1:3920023,0,1,3,2,1:4920023,1:5920023,1,2,"0,0,0,0,0",1:6920023,1:7920023,1:8920023,1:9920023,0,0,0,0:0,0:0,0:0,0:0
20031,920031,5,1,1:13920031,闪电链,闪电链,闪电链，可弹射3次,1,0,1:1920031,1:2920031,1:3920031,0,0,1,2,1:4920031,1:5920031,1,4,"0,0,0,0,0",1:6920031,1:7920031,1:8920031,1:9920031,0,820031,0,0:0,0:0,1:12920031,0:0
20032,920032,5,1,1:13920032,电环,电环,释放一圈电环,0,720032,1:1920032,1:2920032,1:3920032,0,1,4,2,1:4920032,1:5920032,1,4,"0,0,0,0,0",1:6920032,1:7920032,1:8920032,1:9920032,0,0,0,0:0,0:0,0:0,0:0
20033,920033,5,1,0:1,雷暴云,雷暴云,召唤持续3秒的雷暴云，每秒随机劈下多下闪电对敌人造成伤害,0,720033,1:1920033,1:2920033,1:3920033,0,1,4,2,1:4920033,1:5920033,1,4,"0,0,0,0,0",1:6920033,1:7920033,1:8920033,1:9920033,0,0,0,1:10920033,1:11920033,0:0,0:0
20034,920034,4,1,0:1,连环闪电,连环闪电,击杀敌人后释放闪电链,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,820034,0,0,0:0,0:0,0:0,0:0
20041,920041,7,1,0:1,召唤守卫,召唤守卫,召唤一个不承伤只会普攻的守卫，继承自身100%攻击,0,0,1:1920041,1:2920041,1:3920041,0,1,2,1,1:4920041,1:5920041,1,0,"0,0,0,0,0",1:6920041,1:7920041,1:8920041,1:9920041,0,0,1,0:0,0:0,0:0,0:0
20051,920051,5,1,0:1,电弧,电弧,普攻附带扇形溅射伤害,19,720051,1:1920051,1:2920051,1:3920051,0,1,0,2,1:4920051,1:5920051,1,4,"0,0,0,0,0",1:6920051,1:7920051,1:8920051,1:9920051,0,0,0,0:0,0:0,0:0,0:0
20052,920052,5,1,0:1,电波,电波,普攻概率触发周围释放电波，对沿途敌人造成伤害,19,720052,1:1920052,1:2920052,1:3920052,0,1,0,2,1:4920052,1:5920052,1,4,"0,0,0,0,0",1:6920052,1:7920052,1:8920052,1:9920052,0,0,0,0:0,0:0,0:0,1:14920052
20053,920053,5,1,1:13920053,超强电刃,超强电刃,每攻击3次，向前方劈出一道超强电刃,19,720053,1:1920053,1:2920053,1:3920053,0,1,4,2,1:4920053,1:5920053,1,4,"0,0,0,0,0",1:6920053,1:7920053,1:8920053,1:9920053,0,0,0,0:0,0:0,0:0,1:14920053
20054,920054,4,1,0:1,天罚,天罚,击杀敌人后释放超强电刃,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,820054,0,0,0:0,0:0,0:0,0:0
20061,920061,5,1,1:13920061,暴风雪,暴风雪,召唤持续5秒的暴风雪，沿途对接触到的敌人周期性造成冰系伤害并有20%的概率减速,0,0,1:1920061,1:2920061,1:3920061,0,0,3,2,1:4920061,1:5920061,1,1,"0,0,0,0,0",1:6920061,1:7920061,1:8920061,1:9920061,0,"820061,821061",0,1:10920061,1:11920061,0:0,1:14920061
20062,920062,6,1,0:1,【暴风雪】极寒领域,【暴风雪】极寒领域,暴风雪经过的路径留下一片极寒领域，对敌人产生持续伤害,0,0,1:1920062,0:0,0:0,0,1,0,2,1:4920062,0:0,1,1,"0,0,0,0,0",1:18920061,0:0,0:0,0:0,0,0,0,1:17920061,1:18920061,0:0,0:0
20071,920071,6,1,1:13920071,冰爆,冰爆,冰冻结束后产生冰爆，造成伤害,0,0,1:1920071,1:2920071,1:3920071,0,1,3,2,1:4920071,1:5920071,1,1,"0,0,0,0,0",1:6920071,1:7920071,1:8920071,1:9920071,0,0,0,0:0,0:0,0:0,0:0
20072,920072,4,1,0:1,冰爆被动,冰爆被动,冰冻结束后产生冰爆，造成伤害,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,820072,0,0,0:0,0:0,0:0,0:0
20073,920073,4,1,0:1,冰风暴被动,冰风暴被动,击杀敌人后产生一道超级旋风,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,820073,0,0,0:0,0:0,0:0,0:0
20074,920074,6,1,0:1,超级暴风雪,超级暴风雪,召唤持续4秒的超级暴风雪，沿途对接触到的敌人周期性造成冰系伤害,0,0,0:0,0:0,1:3920074,0,1,3,2,1:4920061,0:0,1,1,"0,18920074,0,0,0",1:6920061,1:7920061,1:8920061,1:9920061,0,"820061,821061",0,1:10920061,1:11920061,0:0,1:14920074
20075,920075,6,1,0:1,【超级暴风雪】极寒领域,【超级暴风雪】极寒领域,超级暴风雪经过的路径留下一片极寒领域，对敌人产生持续伤害,0,0,1:1920063,0:0,0:0,0,1,0,2,1:4920075,0:0,1,1,"0,0,0,0,0",1:11920075,0:0,0:0,0:0,0,0,0,1:10920075,1:18920075,0:0,0:0
20081,920081,5,1,1:13920081,冰球,冰球,召唤持续3秒的冰球围绕自身旋转，对接触的敌人周期性造成冰系伤害,0,720081,1:1920081,1:2920081,1:3920081,0,1,2,2,1:4920081,1:5920081,1,1,"0,0,0,0,0",1:6920081,1:7920081,1:8920081,1:9920081,0,820081,0,1:10920081,1:11920081,0:0,1:14920081
20082,920082,4,1,1:20920061,极寒领域,极寒领域,击杀敌人后召唤一个冰球,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,"820082,820083",0,0,0:0,0:0,0:0,00:00:00
20083,920083,6,1,0:1,【极寒领域】冰球,【极寒领域】冰球,【极寒领域触发冰球】召唤持续3秒的冰球围绕自身旋转，对接触的敌人周期性造成冰系伤害,0,0,1:1920081,1:2920081,1:3920081,0,1,2,2,1:4920081,1:5920081,1,1,"0,0,0,0,0",1:6920081,1:7920081,1:8920081,1:9920081,0,820081,0,1:10920081,1:11920081,0:0,1:14920083
20084,920084,5,1,1:13920084,碎冰,碎冰,普攻附带扇形溅射伤害,19,720084,1:1920084,1:2920084,1:3920084,0,1,0,2,1:4920084,1:5920084,1,1,"0,0,0,0,0",1:6920084,1:7920084,1:8920084,1:9920084,0,0,0,0:0,0:0,0:0,0:0
20085,920085,6,1,0:1,冰雪领域,冰雪领域,冰冻单体目标并造成伤害,0,0,1:1920085,1:2920085,1:3920085,0,0,1,2,1:4920085,1:5920085,1,1,"0,0,0,0,0",1:6920085,1:7920085,1:8920085,1:9920085,0,820085,0,0:0,0:0,0:0,0:0
20086,920086,4,1,0:1,冰雪领域被动,冰雪领域被动,减速时概率触发冰冻单体目标并造成伤害,0,0,0:0,0:0,0:0,0,0,1,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,820086,0,0,0:0,0:0,0:0,0:0
90001,990001,3,1,0:1,生命药剂,生命药剂,恢复30%生命,0,0,0:0,0:0,0:0,0,0,2,1,0:0,0:0,1,0,"0,0,0,0,0",0:0,0:0,0:0,0:0,1000001,0,0,0:0,0:0,0:0,0:0
