paipaiworld_config,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,48.1,18.1,19.1,24.1,Unnamed: 52,18.2,19.2,24.2,Unnamed: 56,2.1
46200009,462,9,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200010,462,10,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200011,462,11,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200012,462,12,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200013,462,13,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200014,462,14,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200015,462,15,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200016,462,16,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200017,462,17,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200018,462,18,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200019,462,19,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200020,462,20,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200021,462,21,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200022,462,22,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200023,462,23,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200024,462,24,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200025,462,25,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200026,462,26,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200027,462,27,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200028,462,28,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200029,462,29,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200030,462,30,银两,一种货币,资源,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300001,463,1,解谜道具1,解谜道具1,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300002,463,2,解谜道具2,解谜道具2,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300003,463,3,解谜道具3,解谜道具3,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300004,463,4,解谜道具4,解谜道具4,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300005,463,5,解谜道具5,解谜道具5,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300006,463,6,解谜道具6,解谜道具6,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300007,463,7,解谜道具7,解谜道具7,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300008,463,8,解谜道具8,解谜道具8,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300009,463,9,解谜道具9,解谜道具9,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300010,463,10,解谜道具10,解谜道具10,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300011,463,11,解谜道具11,解谜道具11,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300012,463,12,解谜道具12,解谜道具12,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300013,463,13,解谜道具13,解谜道具13,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300014,463,14,解谜道具14,解谜道具14,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300015,463,15,解谜道具15,解谜道具15,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300016,463,16,解谜道具16,解谜道具16,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300017,463,17,解谜道具17,解谜道具17,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300018,463,18,解谜道具18,解谜道具18,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300019,463,19,解谜道具19,解谜道具19,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300020,463,20,解谜道具20,解谜道具20,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300021,463,21,解谜道具21,解谜道具21,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300022,463,22,解谜道具22,解谜道具22,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300023,463,23,解谜道具23,解谜道具23,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300024,463,24,解谜道具24,解谜道具24,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300025,463,25,解谜道具25,解谜道具25,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300026,463,26,解谜道具26,解谜道具26,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300027,463,27,解谜道具27,解谜道具27,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300028,463,28,解谜道具28,解谜道具28,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300029,463,29,解谜道具29,解谜道具29,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46300030,463,30,解谜道具30,解谜道具30,道具,1,0,items_atlas_0,38400001_ziyuan4,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
43400002,434,2,生命药剂,生命值恢复60%,药剂,0,0,items_atlas_0,43400002,5,common_ui_atlas_0,wz_bg_05,0,0,0,0,0,0,3,3,0,0:0,0:0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,common_atlas_0,0,0,0,0,0,0,0:0,0,0,0,0:0,43400002,0
46200001,462,1,金币,可以用来强化装备,道具,1,0,items_atlas_0,gold_icon,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46200101,462,1,金币堆,金币掉落展示道具,道具,1,0,items_atlas_0,jinbidui,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46400001,464,1,等级,迷宫等级,道具,1,0,items_atlas_0,44300001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,37850101,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,3,0,0,0,0:0,0,0,0,0:0,0,0
46500001,465,1,经验,迷宫经验,道具,1,0,items_atlas_0,38500001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,37850101,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,3,0,0,0,0:0,0,0,0,0:0,0,0
46700001,467,1,强化水晶,可以用来强化装备,道具,0,0,items_atlas_0,45100001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46700101,467,1,强化水晶,强化水晶掉落展示道具,道具,0,0,items_atlas_0,qianghuashidui,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,3,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
46800001,468,1,塑造精华,可以用来合成装备,道具,0,0,items_atlas_0,44500001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,3,0,0,0:0,0:0,0,0,0,0,37850101,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,3,0,0,0,0:0,0,0,0,0:0,0,0
46900001,469,1,钻石,稀有货币,道具,0,0,items_atlas_0,diamond,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,37850101,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,3,0,0,0,0:0,0,0,0,0:0,0,0
47000001,470,1,能力等级,提升等级活动额外技能效果,道具,0,0,items_atlas_0,45600001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,37850101,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,3,0,0,0,0:0,0,0,0,0:0,0,0
47100001,471,1,能量点数,累计经验提高能力等级,道具,1,0,items_atlas_0,44400001,1,common_ui_atlas_0,wz_bg_03,个,0,0,0,0,0,0,0,0,0:0,0:0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,common_atlas_0,0,0,6,0,0,0,0:0,0,0,0,0:0,0,0
48200001,482,1,三选一道具,获得一次三选一,药剂,0,0,items_atlas_0,48200001,5,common_ui_atlas_0,wz_bg_05,0,0,0,0,0,0,0,3,0,0:0,0:0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,common_atlas_0,0,0,0,0,0,0,0:0,0,0,0,0:0,0,0
48300001,483,1,生命药剂,生命值恢复60%,药剂,0,0,items_atlas_0,48300001,5,common_ui_atlas_0,wz_bg_05,0,0,0,0,0,0,0,3,0,0:0,0:0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,common_atlas_0,0,0,0,0,0,0,0:0,0,0,0,0:0,0,0
48300002,483,2,技能道具2,攻速+20%,药剂,0,0,items_atlas_0,48300002,5,common_ui_atlas_0,wz_bg_05,0,0,0,0,0,0,0,3,0,0:0,0:0,0,0,0,0,0,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,2,common_atlas_0,0,0,0,0,0,0,0:0,0,0,0,0:0,0,0
