paipaiworld_config,Unnamed: 1,3,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
10004,1,4,10005,0,46200001:160_46700001:20,0,9101:51,3010101:26,3010101
20004,2,4,20005,0,46200001:160_46700001:20,0,9101:51,3030101:2500,3030101
30004,3,4,30005,0,46200001:160_46700001:20,0,9101:51,3020101:10,3020101
40004,4,4,40005,0,46200001:160_46700001:20,0,9101:51,3030101:2500,3030101
50004,5,4,50005,0,46200001:160_46700001:20,0,9101:51,3010101:26,3010101
60004,6,4,60005,0,46200001:160_46700001:20,0,9101:51,3020101:10,3020101
70004,7,4,70005,0,46200001:160_46700001:20,0,9101:51,3010101:26,3010101
80004,8,4,80005,0,46200001:160_46700001:20,0,9101:51,3010101:26,3010101
10005,1,5,10006,0,46200001:200_46700001:25,0,9101:71,3010101:36,3010101
20005,2,5,20006,0,46200001:200_46700001:25,0,9101:71,3030101:3400,3030101
30005,3,5,30006,0,46200001:200_46700001:25,0,9101:71,3020101:14,3020101
40005,4,5,40006,0,46200001:200_46700001:25,0,9101:71,3030101:3400,3030101
50005,5,5,50006,0,46200001:200_46700001:25,0,9101:71,3010101:36,3010101
60005,6,5,60006,0,46200001:200_46700001:25,0,9101:71,3020101:14,3020101
70005,7,5,70006,0,46200001:200_46700001:25,0,9101:71,3010101:36,3010101
80005,8,5,80006,0,46200001:200_46700001:25,0,9101:71,3010101:36,3010101
10006,1,6,10007,0,46200001:250_46700001:30,0,9101:94,3010101:47,3010101
20006,2,6,20007,0,46200001:250_46700001:30,0,9101:94,3030101:4500,3030101
30006,3,6,30007,0,46200001:250_46700001:30,0,9101:94,3020101:19,3020101
40006,4,6,40007,0,46200001:250_46700001:30,0,9101:94,3030101:4500,3030101
50006,5,6,50007,0,46200001:250_46700001:30,0,9101:94,3010101:47,3010101
60006,6,6,60007,0,46200001:250_46700001:30,0,9101:94,3020101:19,3020101
70006,7,6,70007,0,46200001:250_46700001:30,0,9101:94,3010101:47,3010101
80006,8,6,80007,0,46200001:250_46700001:30,0,9101:94,3010101:47,3010101
10007,1,7,10008,0,46200001:300_46700001:35,0,9101:117,3010101:59,3010101
20007,2,7,20008,0,46200001:300_46700001:35,0,9101:117,3030101:5600,3030101
30007,3,7,30008,0,46200001:300_46700001:35,0,9101:117,3020101:23,3020101
40007,4,7,40008,0,46200001:300_46700001:35,0,9101:117,3030101:5600,3030101
50007,5,7,50008,0,46200001:300_46700001:35,0,9101:117,3010101:59,3010101
60007,6,7,60008,0,46200001:300_46700001:35,0,9101:117,3020101:23,3020101
70007,7,7,70008,0,46200001:300_46700001:35,0,9101:117,3010101:59,3010101
80007,8,7,80008,0,46200001:300_46700001:35,0,9101:117,3010101:59,3010101
10008,1,8,10009,0,46200001:350_46700001:40,0,9101:140,3010101:70,3010101
20008,2,8,20009,0,46200001:350_46700001:40,0,9101:140,3030101:6700,3030101
30008,3,8,30009,0,46200001:350_46700001:40,0,9101:140,3020101:28,3020101
40008,4,8,40009,0,46200001:350_46700001:40,0,9101:140,3030101:6700,3030101
50008,5,8,50009,0,46200001:350_46700001:40,0,9101:140,3010101:70,3010101
60008,6,8,60009,0,46200001:350_46700001:40,0,9101:140,3020101:28,3020101
70008,7,8,70009,0,46200001:350_46700001:40,0,9101:140,3010101:70,3010101
80008,8,8,80009,0,46200001:350_46700001:40,0,9101:140,3010101:70,3010101
10009,1,9,10010,0,46200001:400_46700001:45,0,9101:163,3010101:82,3010101
20009,2,9,20010,0,46200001:400_46700001:45,0,9101:163,3030101:7800,3030101
30009,3,9,30010,0,46200001:400_46700001:45,0,9101:163,3020101:33,3020101
40009,4,9,40010,0,46200001:400_46700001:45,0,9101:163,3030101:7800,3030101
50009,5,9,50010,0,46200001:400_46700001:45,0,9101:163,3010101:82,3010101
60009,6,9,60010,0,46200001:400_46700001:45,0,9101:163,3020101:33,3020101
70009,7,9,70010,0,46200001:400_46700001:45,0,9101:163,3010101:82,3010101
80009,8,9,80010,0,46200001:400_46700001:45,0,9101:163,3010101:82,3010101
10010,1,10,10011,10,46200001:450_46700001:50,10,9101:185,3010101:93,3010101
20010,2,10,20011,10,46200001:450_46700001:50,10,9101:185,3030101:8900,3030101
30010,3,10,30011,10,46200001:450_46700001:50,10,9101:185,3020101:37,3020101
40010,4,10,40011,10,46200001:450_46700001:50,10,9101:185,3030101:8900,3030101
50010,5,10,50011,10,46200001:450_46700001:50,10,9101:185,3010101:93,3010101
60010,6,10,60011,10,46200001:450_46700001:50,10,9101:185,3020101:37,3020101
70010,7,10,70011,10,46200001:450_46700001:50,10,9101:185,3010101:93,3010101
80010,8,10,80011,10,46200001:450_46700001:50,10,9101:185,3010101:93,3010101
10011,1,11,10012,10,46200001:500_46700001:55,10,9101:303,3010101:150,3010101
20011,2,11,20012,10,46200001:500_46700001:55,10,9101:303,3030101:15000,3030101
30011,3,11,30012,10,46200001:500_46700001:55,10,9101:303,3020101:61,3020101
40011,4,11,40012,10,46200001:500_46700001:55,10,9101:303,3030101:15000,3030101
50011,5,11,50012,10,46200001:500_46700001:55,10,9101:303,3010101:150,3010101
60011,6,11,60012,10,46200001:500_46700001:55,10,9101:303,3020101:61,3020101
70011,7,11,70012,10,46200001:500_46700001:55,10,9101:303,3010101:150,3010101
80011,8,11,80012,10,46200001:500_46700001:55,10,9101:303,3010101:150,3010101
10012,1,12,10013,10,46200001:550_46700001:60,10,9101:334,3010101:170,3010101
20012,2,12,20013,10,46200001:550_46700001:60,10,9101:334,3030101:16000,3030101
30012,3,12,30013,10,46200001:550_46700001:60,10,9101:334,3020101:67,3020101
40012,4,12,40013,10,46200001:550_46700001:60,10,9101:334,3030101:16000,3030101
50012,5,12,50013,10,46200001:550_46700001:60,10,9101:334,3010101:170,3010101
60012,6,12,60013,10,46200001:550_46700001:60,10,9101:334,3020101:67,3020101
70012,7,12,70013,10,46200001:550_46700001:60,10,9101:334,3010101:170,3010101
80012,8,12,80013,10,46200001:550_46700001:60,10,9101:334,3010101:170,3010101
10013,1,13,10014,10,46200001:600_46700001:65,10,9101:366,3010101:180,3010101
20013,2,13,20014,10,46200001:600_46700001:65,10,9101:366,3030101:18000,3030101
30013,3,13,30014,10,46200001:600_46700001:65,10,9101:366,3020101:73,3020101
40013,4,13,40014,10,46200001:600_46700001:65,10,9101:366,3030101:18000,3030101
50013,5,13,50014,10,46200001:600_46700001:65,10,9101:366,3010101:180,3010101
60013,6,13,60014,10,46200001:600_46700001:65,10,9101:366,3020101:73,3020101
70013,7,13,70014,10,46200001:600_46700001:65,10,9101:366,3010101:180,3010101
80013,8,13,80014,10,46200001:600_46700001:65,10,9101:366,3010101:180,3010101
10014,1,14,10015,10,46200001:650_46700001:70,10,9101:397,3010101:200,3010101
20014,2,14,20015,10,46200001:650_46700001:70,10,9101:397,3030101:19000,3030101
30014,3,14,30015,10,46200001:650_46700001:70,10,9101:397,3020101:80,3020101
40014,4,14,40015,10,46200001:650_46700001:70,10,9101:397,3030101:19000,3030101
50014,5,14,50015,10,46200001:650_46700001:70,10,9101:397,3010101:200,3010101
60014,6,14,60015,10,46200001:650_46700001:70,10,9101:397,3020101:80,3020101
70014,7,14,70015,10,46200001:650_46700001:70,10,9101:397,3010101:200,3010101
80014,8,14,80015,10,46200001:650_46700001:70,10,9101:397,3010101:200,3010101
10015,1,15,10016,10,46200001:700_46700001:75,10,9101:428,3010101:210,3010101
20015,2,15,20016,10,46200001:700_46700001:75,10,9101:428,3030101:21000,3030101
30015,3,15,30016,10,46200001:700_46700001:75,10,9101:428,3020101:86,3020101
40015,4,15,40016,10,46200001:700_46700001:75,10,9101:428,3030101:21000,3030101
50015,5,15,50016,10,46200001:700_46700001:75,10,9101:428,3010101:210,3010101
60015,6,15,60016,10,46200001:700_46700001:75,10,9101:428,3020101:86,3020101
70015,7,15,70016,10,46200001:700_46700001:75,10,9101:428,3010101:210,3010101
80015,8,15,80016,10,46200001:700_46700001:75,10,9101:428,3010101:210,3010101
10016,1,16,10017,10,46200001:750_46700001:80,10,9101:460,3010101:230,3010101
20016,2,16,20017,10,46200001:750_46700001:80,10,9101:460,3030101:22000,3030101
30016,3,16,30017,10,46200001:750_46700001:80,10,9101:460,3020101:92,3020101
40016,4,16,40017,10,46200001:750_46700001:80,10,9101:460,3030101:22000,3030101
50016,5,16,50017,10,46200001:750_46700001:80,10,9101:460,3010101:230,3010101
60016,6,16,60017,10,46200001:750_46700001:80,10,9101:460,3020101:92,3020101
70016,7,16,70017,10,46200001:750_46700001:80,10,9101:460,3010101:230,3010101
80016,8,16,80017,10,46200001:750_46700001:80,10,9101:460,3010101:230,3010101
10017,1,17,10018,10,46200001:800_46700001:85,10,9101:491,3010101:250,3010101
20017,2,17,20018,10,46200001:800_46700001:85,10,9101:491,3030101:24000,3030101
30017,3,17,30018,10,46200001:800_46700001:85,10,9101:491,3020101:98,3020101
40017,4,17,40018,10,46200001:800_46700001:85,10,9101:491,3030101:24000,3030101
50017,5,17,50018,10,46200001:800_46700001:85,10,9101:491,3010101:250,3010101
60017,6,17,60018,10,46200001:800_46700001:85,10,9101:491,3020101:98,3020101
70017,7,17,70018,10,46200001:800_46700001:85,10,9101:491,3010101:250,3010101
80017,8,17,80018,10,46200001:800_46700001:85,10,9101:491,3010101:250,3010101
10018,1,18,10019,10,46200001:850_46700001:90,10,9101:523,3010101:260,3010101
20018,2,18,20019,10,46200001:850_46700001:90,10,9101:523,3030101:25000,3030101
30018,3,18,30019,10,46200001:850_46700001:90,10,9101:523,3020101:100,3020101
40018,4,18,40019,10,46200001:850_46700001:90,10,9101:523,3030101:25000,3030101
50018,5,18,50019,10,46200001:850_46700001:90,10,9101:523,3010101:260,3010101
60018,6,18,60019,10,46200001:850_46700001:90,10,9101:523,3020101:100,3020101
70018,7,18,70019,10,46200001:850_46700001:90,10,9101:523,3010101:260,3010101
80018,8,18,80019,10,46200001:850_46700001:90,10,9101:523,3010101:260,3010101
10019,1,19,10020,10,46200001:900_46700001:95,10,9101:554,3010101:280,3010101
20019,2,19,20020,10,46200001:900_46700001:95,10,9101:554,3030101:27000,3030101
30019,3,19,30020,10,46200001:900_46700001:95,10,9101:554,3020101:110,3020101
40019,4,19,40020,10,46200001:900_46700001:95,10,9101:554,3030101:27000,3030101
50019,5,19,50020,10,46200001:900_46700001:95,10,9101:554,3010101:280,3010101
60019,6,19,60020,10,46200001:900_46700001:95,10,9101:554,3020101:110,3020101
70019,7,19,70020,10,46200001:900_46700001:95,10,9101:554,3010101:280,3010101
80019,8,19,80020,10,46200001:900_46700001:95,10,9101:554,3010101:280,3010101
10020,1,20,10021,20,46200001:950_46700001:100,20,9101:585,3010101:290,3010101
20020,2,20,20021,20,46200001:950_46700001:100,20,9101:585,3030101:28000,3030101
30020,3,20,30021,20,46200001:950_46700001:100,20,9101:585,3020101:120,3020101
40020,4,20,40021,20,46200001:950_46700001:100,20,9101:585,3030101:28000,3030101
50020,5,20,50021,20,46200001:950_46700001:100,20,9101:585,3010101:290,3010101
60020,6,20,60021,20,46200001:950_46700001:100,20,9101:585,3020101:120,3020101
70020,7,20,70021,20,46200001:950_46700001:100,20,9101:585,3010101:290,3010101
80020,8,20,80021,20,46200001:950_46700001:100,20,9101:585,3010101:290,3010101
10021,1,21,10022,20,46200001:1000_46700001:105,20,9101:664,3010101:330,3010101
20021,2,21,20022,20,46200001:1000_46700001:105,20,9101:664,3030101:32000,3030101
30021,3,21,30022,20,46200001:1000_46700001:105,20,9101:664,3020101:130,3020101
40021,4,21,40022,20,46200001:1000_46700001:105,20,9101:664,3030101:32000,3030101
50021,5,21,50022,20,46200001:1000_46700001:105,20,9101:664,3010101:330,3010101
60021,6,21,60022,20,46200001:1000_46700001:105,20,9101:664,3020101:130,3020101
70021,7,21,70022,20,46200001:1000_46700001:105,20,9101:664,3010101:330,3010101
80021,8,21,80022,20,46200001:1000_46700001:105,20,9101:664,3010101:330,3010101
10022,1,22,10023,20,46200001:1050_46700001:110,20,9101:698,3010101:350,3010101
20022,2,22,20023,20,46200001:1050_46700001:110,20,9101:698,3030101:34000,3030101
30022,3,22,30023,20,46200001:1050_46700001:110,20,9101:698,3020101:140,3020101
40022,4,22,40023,20,46200001:1050_46700001:110,20,9101:698,3030101:34000,3030101
50022,5,22,50023,20,46200001:1050_46700001:110,20,9101:698,3010101:350,3010101
60022,6,22,60023,20,46200001:1050_46700001:110,20,9101:698,3020101:140,3020101
70022,7,22,70023,20,46200001:1050_46700001:110,20,9101:698,3010101:350,3010101
80022,8,22,80023,20,46200001:1050_46700001:110,20,9101:698,3010101:350,3010101
10023,1,23,10024,20,46200001:1100_46700001:115,20,9101:732,3010101:370,3010101
20023,2,23,20024,20,46200001:1100_46700001:115,20,9101:732,3030101:35000,3030101
30023,3,23,30024,20,46200001:1100_46700001:115,20,9101:732,3020101:150,3020101
40023,4,23,40024,20,46200001:1100_46700001:115,20,9101:732,3030101:35000,3030101
50023,5,23,50024,20,46200001:1100_46700001:115,20,9101:732,3010101:370,3010101
60023,6,23,60024,20,46200001:1100_46700001:115,20,9101:732,3020101:150,3020101
70023,7,23,70024,20,46200001:1100_46700001:115,20,9101:732,3010101:370,3010101
80023,8,23,80024,20,46200001:1100_46700001:115,20,9101:732,3010101:370,3010101
10024,1,24,10025,20,46200001:1150_46700001:120,20,9101:766,3010101:380,3010101
20024,2,24,20025,20,46200001:1150_46700001:120,20,9101:766,3030101:37000,3030101
30024,3,24,30025,20,46200001:1150_46700001:120,20,9101:766,3020101:150,3020101
40024,4,24,40025,20,46200001:1150_46700001:120,20,9101:766,3030101:37000,3030101
50024,5,24,50025,20,46200001:1150_46700001:120,20,9101:766,3010101:380,3010101
60024,6,24,60025,20,46200001:1150_46700001:120,20,9101:766,3020101:150,3020101
70024,7,24,70025,20,46200001:1150_46700001:120,20,9101:766,3010101:380,3010101
80024,8,24,80025,20,46200001:1150_46700001:120,20,9101:766,3010101:380,3010101
10025,1,25,10026,20,46200001:1200_46700001:125,20,9101:800,3010101:400,3010101
20025,2,25,20026,20,46200001:1200_46700001:125,20,9101:800,3030101:38000,3030101
30025,3,25,30026,20,46200001:1200_46700001:125,20,9101:800,3020101:160,3020101
40025,4,25,40026,20,46200001:1200_46700001:125,20,9101:800,3030101:38000,3030101
50025,5,25,50026,20,46200001:1200_46700001:125,20,9101:800,3010101:400,3010101
60025,6,25,60026,20,46200001:1200_46700001:125,20,9101:800,3020101:160,3020101
70025,7,25,70026,20,46200001:1200_46700001:125,20,9101:800,3010101:400,3010101
80025,8,25,80026,20,46200001:1200_46700001:125,20,9101:800,3010101:400,3010101
10026,1,26,10027,20,46200001:1250_46700001:130,20,9101:835,3010101:420,3010101
20026,2,26,20027,20,46200001:1250_46700001:130,20,9101:835,3030101:40000,3030101
30026,3,26,30027,20,46200001:1250_46700001:130,20,9101:835,3020101:170,3020101
40026,4,26,40027,20,46200001:1250_46700001:130,20,9101:835,3030101:40000,3030101
50026,5,26,50027,20,46200001:1250_46700001:130,20,9101:835,3010101:420,3010101
60026,6,26,60027,20,46200001:1250_46700001:130,20,9101:835,3020101:170,3020101
70026,7,26,70027,20,46200001:1250_46700001:130,20,9101:835,3010101:420,3010101
80026,8,26,80027,20,46200001:1250_46700001:130,20,9101:835,3010101:420,3010101
10027,1,27,10028,20,46200001:1300_46700001:135,20,9101:869,3010101:430,3010101
20027,2,27,20028,20,46200001:1300_46700001:135,20,9101:869,3030101:42000,3030101
30027,3,27,30028,20,46200001:1300_46700001:135,20,9101:869,3020101:170,3020101
40027,4,27,40028,20,46200001:1300_46700001:135,20,9101:869,3030101:42000,3030101
50027,5,27,50028,20,46200001:1300_46700001:135,20,9101:869,3010101:430,3010101
60027,6,27,60028,20,46200001:1300_46700001:135,20,9101:869,3020101:170,3020101
70027,7,27,70028,20,46200001:1300_46700001:135,20,9101:869,3010101:430,3010101
80027,8,27,80028,20,46200001:1300_46700001:135,20,9101:869,3010101:430,3010101
10028,1,28,10029,20,46200001:1350_46700001:140,20,9101:903,3010101:450,3010101
20028,2,28,20029,20,46200001:1350_46700001:140,20,9101:903,3030101:43000,3030101
30028,3,28,30029,20,46200001:1350_46700001:140,20,9101:903,3020101:180,3020101
40028,4,28,40029,20,46200001:1350_46700001:140,20,9101:903,3030101:43000,3030101
50028,5,28,50029,20,46200001:1350_46700001:140,20,9101:903,3010101:450,3010101
60028,6,28,60029,20,46200001:1350_46700001:140,20,9101:903,3020101:180,3020101
70028,7,28,70029,20,46200001:1350_46700001:140,20,9101:903,3010101:450,3010101
80028,8,28,80029,20,46200001:1350_46700001:140,20,9101:903,3010101:450,3010101
10029,1,29,10030,20,46200001:1400_46700001:145,20,9101:939,3010101:470,3010101
20029,2,29,20030,20,46200001:1400_46700001:145,20,9101:939,3030101:45000,3030101
30029,3,29,30030,20,46200001:1400_46700001:145,20,9101:939,3020101:190,3020101
40029,4,29,40030,20,46200001:1400_46700001:145,20,9101:939,3030101:45000,3030101
50029,5,29,50030,20,46200001:1400_46700001:145,20,9101:939,3010101:470,3010101
60029,6,29,60030,20,46200001:1400_46700001:145,20,9101:939,3020101:190,3020101
70029,7,29,70030,20,46200001:1400_46700001:145,20,9101:939,3010101:470,3010101
80029,8,29,80030,20,46200001:1400_46700001:145,20,9101:939,3010101:470,3010101
10030,1,30,10031,30,46200001:1450_46700001:150,30,9101:976,3010101:490,3010101
20030,2,30,20031,30,46200001:1450_46700001:150,30,9101:976,3030101:47000,3030101
30030,3,30,30031,30,46200001:1450_46700001:150,30,9101:976,3020101:200,3020101
40030,4,30,40031,30,46200001:1450_46700001:150,30,9101:976,3030101:47000,3030101
50030,5,30,50031,30,46200001:1450_46700001:150,30,9101:976,3010101:490,3010101
60030,6,30,60031,30,46200001:1450_46700001:150,30,9101:976,3020101:200,3020101
70030,7,30,70031,30,46200001:1450_46700001:150,30,9101:976,3010101:490,3010101
80030,8,30,80031,30,46200001:1450_46700001:150,30,9101:976,3010101:490,3010101
10031,1,31,10032,30,46200001:1500_46700001:155,30,9101:1074,3010101:540,3010101
20031,2,31,20032,30,46200001:1500_46700001:155,30,9101:1074,3030101:52000,3030101
30031,3,31,30032,30,46200001:1500_46700001:155,30,9101:1074,3020101:210,3020101
40031,4,31,40032,30,46200001:1500_46700001:155,30,9101:1074,3030101:52000,3030101
50031,5,31,50032,30,46200001:1500_46700001:155,30,9101:1074,3010101:540,3010101
60031,6,31,60032,30,46200001:1500_46700001:155,30,9101:1074,3020101:210,3020101
70031,7,31,70032,30,46200001:1500_46700001:155,30,9101:1074,3010101:540,3010101
80031,8,31,80032,30,46200001:1500_46700001:155,30,9101:1074,3010101:540,3010101
10032,1,32,10033,30,46200001:1550_46700001:160,30,9101:1117,3010101:560,3010101
20032,2,32,20033,30,46200001:1550_46700001:160,30,9101:1117,3030101:54000,3030101
30032,3,32,30033,30,46200001:1550_46700001:160,30,9101:1117,3020101:220,3020101
40032,4,32,40033,30,46200001:1550_46700001:160,30,9101:1117,3030101:54000,3030101
50032,5,32,50033,30,46200001:1550_46700001:160,30,9101:1117,3010101:560,3010101
60032,6,32,60033,30,46200001:1550_46700001:160,30,9101:1117,3020101:220,3020101
70032,7,32,70033,30,46200001:1550_46700001:160,30,9101:1117,3010101:560,3010101
80032,8,32,80033,30,46200001:1550_46700001:160,30,9101:1117,3010101:560,3010101
10033,1,33,10034,30,46200001:1600_46700001:165,30,9101:1161,3010101:580,3010101
20033,2,33,20034,30,46200001:1600_46700001:165,30,9101:1161,3030101:56000,3030101
30033,3,33,30034,30,46200001:1600_46700001:165,30,9101:1161,3020101:230,3020101
40033,4,33,40034,30,46200001:1600_46700001:165,30,9101:1161,3030101:56000,3030101
50033,5,33,50034,30,46200001:1600_46700001:165,30,9101:1161,3010101:580,3010101
60033,6,33,60034,30,46200001:1600_46700001:165,30,9101:1161,3020101:230,3020101
70033,7,33,70034,30,46200001:1600_46700001:165,30,9101:1161,3010101:580,3010101
80033,8,33,80034,30,46200001:1600_46700001:165,30,9101:1161,3010101:580,3010101
10034,1,34,10035,30,46200001:1650_46700001:170,30,9101:1208,3010101:600,3010101
20034,2,34,20035,30,46200001:1650_46700001:170,30,9101:1208,3030101:58000,3030101
30034,3,34,30035,30,46200001:1650_46700001:170,30,9101:1208,3020101:240,3020101
40034,4,34,40035,30,46200001:1650_46700001:170,30,9101:1208,3030101:58000,3030101
50034,5,34,50035,30,46200001:1650_46700001:170,30,9101:1208,3010101:600,3010101
60034,6,34,60035,30,46200001:1650_46700001:170,30,9101:1208,3020101:240,3020101
70034,7,34,70035,30,46200001:1650_46700001:170,30,9101:1208,3010101:600,3010101
80034,8,34,80035,30,46200001:1650_46700001:170,30,9101:1208,3010101:600,3010101
10035,1,35,10036,30,46200001:1700_46700001:175,30,9101:1256,3010101:630,3010101
20035,2,35,20036,30,46200001:1700_46700001:175,30,9101:1256,3030101:60000,3030101
30035,3,35,30036,30,46200001:1700_46700001:175,30,9101:1256,3020101:250,3020101
40035,4,35,40036,30,46200001:1700_46700001:175,30,9101:1256,3030101:60000,3030101
50035,5,35,50036,30,46200001:1700_46700001:175,30,9101:1256,3010101:630,3010101
60035,6,35,60036,30,46200001:1700_46700001:175,30,9101:1256,3020101:250,3020101
70035,7,35,70036,30,46200001:1700_46700001:175,30,9101:1256,3010101:630,3010101
80035,8,35,80036,30,46200001:1700_46700001:175,30,9101:1256,3010101:630,3010101
10036,1,36,10037,30,46200001:1750_46700001:180,30,9101:1306,3010101:650,3010101
20036,2,36,20037,30,46200001:1750_46700001:180,30,9101:1306,3030101:63000,3030101
30036,3,36,30037,30,46200001:1750_46700001:180,30,9101:1306,3020101:260,3020101
40036,4,36,40037,30,46200001:1750_46700001:180,30,9101:1306,3030101:63000,3030101
50036,5,36,50037,30,46200001:1750_46700001:180,30,9101:1306,3010101:650,3010101
60036,6,36,60037,30,46200001:1750_46700001:180,30,9101:1306,3020101:260,3020101
70036,7,36,70037,30,46200001:1750_46700001:180,30,9101:1306,3010101:650,3010101
80036,8,36,80037,30,46200001:1750_46700001:180,30,9101:1306,3010101:650,3010101
10037,1,37,10038,30,46200001:1800_46700001:185,30,9101:1359,3010101:680,3010101
20037,2,37,20038,30,46200001:1800_46700001:185,30,9101:1359,3030101:65000,3030101
30037,3,37,30038,30,46200001:1800_46700001:185,30,9101:1359,3020101:270,3020101
40037,4,37,40038,30,46200001:1800_46700001:185,30,9101:1359,3030101:65000,3030101
50037,5,37,50038,30,46200001:1800_46700001:185,30,9101:1359,3010101:680,3010101
60037,6,37,60038,30,46200001:1800_46700001:185,30,9101:1359,3020101:270,3020101
70037,7,37,70038,30,46200001:1800_46700001:185,30,9101:1359,3010101:680,3010101
80037,8,37,80038,30,46200001:1800_46700001:185,30,9101:1359,3010101:680,3010101
10038,1,38,10039,30,46200001:1850_46700001:190,30,9101:1413,3010101:710,3010101
20038,2,38,20039,30,46200001:1850_46700001:190,30,9101:1413,3030101:68000,3030101
30038,3,38,30039,30,46200001:1850_46700001:190,30,9101:1413,3020101:280,3020101
40038,4,38,40039,30,46200001:1850_46700001:190,30,9101:1413,3030101:68000,3030101
50038,5,38,50039,30,46200001:1850_46700001:190,30,9101:1413,3010101:710,3010101
60038,6,38,60039,30,46200001:1850_46700001:190,30,9101:1413,3020101:280,3020101
70038,7,38,70039,30,46200001:1850_46700001:190,30,9101:1413,3010101:710,3010101
80038,8,38,80039,30,46200001:1850_46700001:190,30,9101:1413,3010101:710,3010101
10039,1,39,10040,30,46200001:1900_46700001:195,30,9101:1470,3010101:740,3010101
20039,2,39,20040,30,46200001:1900_46700001:195,30,9101:1470,3030101:71000,3030101
30039,3,39,30040,30,46200001:1900_46700001:195,30,9101:1470,3020101:290,3020101
40039,4,39,40040,30,46200001:1900_46700001:195,30,9101:1470,3030101:71000,3030101
50039,5,39,50040,30,46200001:1900_46700001:195,30,9101:1470,3010101:740,3010101
60039,6,39,60040,30,46200001:1900_46700001:195,30,9101:1470,3020101:290,3020101
70039,7,39,70040,30,46200001:1900_46700001:195,30,9101:1470,3010101:740,3010101
80039,8,39,80040,30,46200001:1900_46700001:195,30,9101:1470,3010101:740,3010101
10040,1,40,10041,40,46200001:1950_46700001:200,40,9101:1529,3010101:760,3010101
20040,2,40,20041,40,46200001:1950_46700001:200,40,9101:1529,3030101:73000,3030101
30040,3,40,30041,40,46200001:1950_46700001:200,40,9101:1529,3020101:310,3020101
40040,4,40,40041,40,46200001:1950_46700001:200,40,9101:1529,3030101:73000,3030101
50040,5,40,50041,40,46200001:1950_46700001:200,40,9101:1529,3010101:760,3010101
