paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
110701,1,,,10001,1,4,74000,7,0,11101:25_11112:16_11106:1,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
110801,1,,,10001,1,3,90400,8,0,11101:26_11112:20_11106:2,"0,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1",0,30000,0,0,0,0,0,0,0,0
110901,1,,,10001,1,2,106800,9,0,11101:28_11112:24_11106:2,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
111001,1,,,10001,1,1,123000,10,0,11101:29_11112:28_11106:3,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
210101,2,,,20001,1,11,0,1,21101,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
210102,2,,,20001,1,10,1000,1,0,21101:5,"0,1,850,1,850,1,850,1,850,1",0,30000,0,0,0,0,0,0,0,0
210201,2,,,20001,1,9,4900,2,0,21101:12,"0,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1",0,30000,0,0,0,0,0,0,0,0
210301,2,,,20001,1,8,14700,3,0,21101:15_21107:4,"0,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1",0,30000,0,0,0,0,0,0,0,0
210401,2,,,20001,1,7,28400,4,0,21101:16_21107:8,"0,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1",0,30000,0,0,0,0,0,0,0,0
210501,2,,,20001,1,6,43000,5,0,21101:17_21107:12_21106:1,"0,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1",0,30000,0,0,0,0,0,0,0,0
210601,2,,,20001,1,5,58500,6,0,21101:19_21107:16_21106:1,"0,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1",0,30000,0,0,0,0,0,0,0,0
210701,2,,,20001,1,4,75000,7,0,21101:20_21107:20_21106:2,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
210801,2,,,20001,1,3,91400,8,0,21101:22_21107:24_21106:2,"0,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1",0,30000,0,0,0,0,0,0,0,0
210901,2,,,20001,1,2,107800,9,0,21101:23_21107:28_21106:3,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
211001,2,,,20001,1,1,124000,10,0,21101:24_21107:32_21106:4,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
310101,3,,,30001,1,11,0,1,31101,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
310102,3,,,30001,1,10,1000,1,0,31101:5,"0,1,850,1,850,1,850,1,850,1",0,30000,0,0,0,0,0,0,0,0
310201,3,,,30001,1,9,4900,2,0,31101:12,"0,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1",0,30000,0,0,0,0,0,0,0,0
310301,3,,,30001,1,8,14700,3,0,31101:15_31107:4,"0,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1",0,30000,0,0,0,0,0,0,0,0
310401,3,,,30001,1,7,28400,4,0,31101:15_31107:8_31102:1,"0,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1",0,30000,0,0,0,0,0,0,0,0
310501,3,,,30001,1,6,43000,5,0,31101:17_31107:12_31102:1,"0,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1",0,30000,0,0,0,0,0,0,0,0
310601,3,,,30001,1,5,58500,6,0,31101:19_31107:16_31102:1,"0,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1",0,30000,0,0,0,0,0,0,0,0
310701,3,,,30001,1,4,75000,7,0,31101:20_31107:20_31102:2,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
310801,3,,,30001,1,3,91400,8,0,31101:22_31107:24_31102:2,"0,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1",0,30000,0,0,0,0,0,0,0,0
310901,3,,,30001,1,2,107800,9,0,31101:23_31107:28_31102:3,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
311001,3,,,30001,1,1,124000,10,0,31101:24_31107:32_31102:4,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
410101,4,,,40001,1,11,0,1,41112,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
410102,4,,,40001,1,10,1000,1,0,41112:5,"0,1,850,1,850,1,850,1,850,1",0,30000,0,0,0,0,0,0,0,0
410201,4,,,40001,1,9,4900,2,0,41112:9_41107:3,"0,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1",0,30000,0,0,0,0,0,0,0,0
410301,4,,,40001,1,8,14700,3,0,41112:12_41107:6,"0,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1",0,30000,0,0,0,0,0,0,0,0
410401,4,,,40001,1,7,27400,4,0,41112:14_41107:9_41113:1,"0,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1",0,30000,0,0,0,0,0,0,0,0
410501,4,,,40001,1,6,42000,5,0,41112:16_41107:12_41113:2,"0,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1",0,30000,0,0,0,0,0,0,0,0
410601,4,,,40001,1,5,57500,6,0,41112:18_41107:16_41113:2,"0,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1",0,30000,0,0,0,0,0,0,0,0
410701,4,,,40001,1,4,74000,7,0,41112:19_41107:20_41113:3,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
410801,4,,,40001,1,3,90400,8,0,41112:21_41107:24_41113:3,"0,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1",0,30000,0,0,0,0,0,0,0,0
410901,4,,,40001,1,2,106800,9,0,41112:22_41107:28_41113:4,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
411001,4,,,40001,1,1,123000,10,0,41112:23_41107:32_41113:5,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
510101,5,,,50001,1,11,0,1,51102,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
510102,5,,,50001,1,10,1000,1,0,51102:5,"0,1,850,1,850,1,850,1,850,1",0,30000,0,0,0,0,0,0,0,0
510201,5,,,50001,1,9,4900,2,0,51102:9_51108:3,"0,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1,800,1",0,30000,0,0,0,0,0,0,0,0
510301,5,,,50001,1,8,14700,3,0,51102:12_51108:6,"0,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1,700,1",0,30000,0,0,0,0,0,0,0,0
510401,5,,,50001,1,7,27400,4,0,51102:14_51108:9_51104:1,"0,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1,600,1",0,30000,0,0,0,0,0,0,0,0
510501,5,,,50001,1,6,42000,5,0,51102:17_51108:12_51104:1,"0,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1,500,1",0,30000,0,0,0,0,0,0,0,0
510601,5,,,50001,1,5,57500,6,0,51102:18_51108:16_51103:1_51104:1,"0,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1,450,1",0,30000,0,0,0,0,0,0,0,0
510701,5,,,50001,1,4,74000,7,0,51102:19_51108:20_51103:1_51104:2,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
510801,5,,,50001,1,3,90400,8,0,51102:21_51108:24_51103:1_51104:2,"0,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1,350,1",0,30000,0,0,0,0,0,0,0,0
510901,5,,,50001,1,2,106800,9,0,51102:22_51108:28_51103:2_51104:2,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
511001,5,,,50001,1,1,123000,10,0,51102:24_51108:32_51103:2_51104:2,"0,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1,300,1",0,30000,0,0,0,0,0,0,0,0
520101,5,,,50002,1,12,0,1,52102,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
520102,5,,,50002,1,11,0,1,"52102,52102,52102,52102",0:0,0,0,30000,0,0,0,"50,50,4000",0,0,0,0
520103,5,,,50002,1,10,1000,1,0,52102:8_52108:3,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
520201,5,,,50002,1,9,5400,2,0,52102:17_52108:6_52104:1,"0,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2",0,30000,0,0,0,0,0,0,0,0
520301,5,,,50002,1,8,13800,3,0,52102:22_52108:9_52104:1,"0,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2",0,30000,0,0,0,0,0,0,0,0
520401,5,,,50002,1,7,24700,4,0,52102:26_52108:12_52103:1_52104:1,"0,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2",0,30000,0,0,0,0,0,0,0,0
520501,5,,,50002,1,6,37900,5,0,52102:30_52108:17_52103:2_52104:1,"0,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2",0,30000,0,0,0,0,0,0,0,0
520601,5,,,50002,1,5,53900,6,0,52102:30_52108:25_52103:3_52104:2,"0,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2,620,2",0,30000,0,0,0,0,0,0,0,0
520701,5,,,50002,1,4,72500,7,0,52102:32_52108:34_52103:4_52104:2,"0,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2",0,30000,0,0,0,0,0,0,0,0
520801,5,,,50002,1,3,94100,8,0,52102:33_52108:43_52103:6_52104:2,"0,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2",0,30000,0,0,0,0,0,0,0,0
520901,5,,,50002,1,2,119300,9,0,52102:34_52108:52_52103:8_52104:2,"0,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2",0,30000,0,0,0,0,0,0,0,0
521001,5,,,50002,1,1,148100,10,0,52102:36_52108:59_52103:11_52104:2,"0,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2,600,2",0,30000,0,0,0,0,0,0,0,0
610101,6,,,60001,1,11,0,1,61102,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
610102,6,,,60001,1,10,1000,1,0,61102:5,0,0,30000,0,0,0,0,0,0,0,0
610201,6,,,60001,1,9,4900,2,0,61102:9_61108:3,0,0,30000,0,0,0,0,0,0,0,0
610301,6,,,60001,1,8,14700,3,0,61102:12_61108:6,0,0,30000,0,0,0,0,0,0,0,0
610401,6,,,60001,1,7,27400,4,0,61102:14_61108:9_61104:1,0,0,30000,0,0,0,0,0,0,0,0
610501,6,,,60001,1,6,42000,5,0,61102:17_61108:12_61104:1,0,0,30000,0,0,0,0,0,0,0,0
610601,6,,,60001,1,5,57500,6,0,61102:18_61108:16_61106:1_61104:1,0,0,30000,0,0,0,0,0,0,0,0
610701,6,,,60001,1,4,74000,7,0,61102:19_61108:20_61106:1_61104:2,0,0,30000,0,0,0,0,0,0,0,0
610801,6,,,60001,1,3,90400,8,0,61102:21_61108:24_61106:1_61104:2,0,0,30000,0,0,0,0,0,0,0,0
610901,6,,,60001,1,2,106800,9,0,61102:22_61108:28_61106:2_61104:2,0,0,30000,0,0,0,0,0,0,0,0
611001,6,,,60001,1,1,123000,10,0,61102:24_61108:32_61106:2_61104:2,"0,3,1500,3,1500,3,1500,3,2000,4,2000,4",0,30000,0,0,0,0,0,0,0,0
620101,6,,,60002,1,12,0,1,62102,0:0,0,0,30000,0,0,"50,50",0,0,0,0,0
620102,6,,,60002,1,11,0,1,"62102,62102,62102,62102",0:0,0,0,30000,0,0,0,"50,50,4000",0,0,0,0
620103,6,,,60002,1,10,1000,1,0,62102:8_62108:3,"0,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1,400,1",0,30000,0,0,0,0,0,0,0,0
620201,6,,,60002,1,9,5400,2,0,62102:17_62108:6_62104:1,"0,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2,700,2",0,30000,0,0,0,0,0,0,0,0
620301,6,,,60002,1,8,13800,3,0,62102:22_62108:9_62104:1,"0,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2,680,2",0,30000,0,0,0,0,0,0,0,0
620401,6,,,60002,1,7,24700,4,0,62102:26_62108:12_62106:1_62104:1,"0,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2,660,2",0,30000,0,0,0,0,0,0,0,0
620501,6,,,60002,1,6,37900,5,0,62102:30_62108:17_62106:2_62104:1,"0,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2,640,2",0,30000,0,0,0,0,0,0,0,0
