paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
7,101,15081,"19,50.00308,50",62,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,1,0,,0,0,0,0,0,0,,,,0,,0
8,101,15082,"12.2505483627319,50.00308,55.7631225585938",2,1,"0,0,0",,0,"1,1,1",,,,1,,"12.00,0.00,56.00,26.00,0.00,56.00,26.00,0.00,44.00,12.00,0.00,44.00",,,,,,,10001_0,,,,"0,15085",
9,101,15083,"13.8884840011597,50.00308,46.1572380065918",2,6,"0,0,0",,0,"1,1,1",,,,1,,"13.89,0.00,46.16,20.00,0.00,46.16,20.00,0.00,44.06,13.89,0.00,44.06",,,,,,,10001_0,,,,"0,15080",
10,101,15084,"20,50.00308,36",5,2,"0,270,0","19.5,50.00307,38_19.5,50.00307,34_20.5,50.00307,34_20.5,50.00307,38",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv2_co01.prefab,,,1,0,,0,0,0,90000101,0,0,,,,0,,0
11,101,15085,"28,41.97823,47",62,13,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,1,0,,0,0,0,0,0,0,,,8,0,,0
12,101,30813,"23,50.0031,14",12,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,2,0,,0,0,0,0,0,0,,,,0,,0
13,101,30819,"28,50.0031,35",17,0,"0,0,0","30,50.0031,35.75_26,50.0031,35.75_26,50.0031,34.25_30,50.0031,34.25",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Tengti_01.prefab,30969,,2,0,,0,0,0,0,0,0,,,,0,,0
14,101,30822,"28.0455112457275,54.00304,39.9998359680176",14,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_ChuanSongZhen.prefab,,,2,0,,0,0,0,0,0,0,,,,0,,0
15,101,30927,"29,50.0031,16",5,1,"0,180,0","26,50.0031,15.5_32,50.0031,15.5_32,50.0031,16.5_26,50.0031,16.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,2,0,,0,0,0,90000201,0,0,,,,0,,0
16,101,30930,"16,50.0031,32.1596221923828",6,0,"0,0,0","35,50.0031,22.5_35,50.0031,20.5_37,50.0031,20.5_37,50.0031,22.5",0,"1,1,1",Prefab/PuzzleMap/Prop/P_Jiguan_01.prefab,,"30947,34800",2,0,,0,0,0,0,0,0,,,,0,,0
17,101,30947,"35,50.0031,28.915943145752",7,0,"0,90,0","36,50.0031,27.41594_36,50.0031,30.41594_34,50.0031,30.41594_34,50.0031,27.41594",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,30930,,2,0,,0,2,0,0,0,0,,,,0,,0
18,101,34800,"33,50.0031,28.915943145752",7,0,"0,90,0","34,50.0031,27.41594_34,50.0031,30.41594_32,50.0031,30.41594_32,50.0031,27.41594",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,30930,,2,0,,0,2,0,0,0,0,,,,0,,0
19,101,30969,"37.8342475891113,50.0031,29.0351829528809",18,0,"0,180,0","42.58425,50.0031,28.75_44.08425,50.0031,28.75_44.08425,50.0031,30.25_42.58425,50.0031,30.25",0,"1,1,1",Prefab/PuzzleMap/Prop/P_ShuiHu.prefab,,,2,0,,0,0,0,0,0,0,,,,0,,0
20,101,24891,"23,50.0031,22",16,5,"0,0,0","26,50.0031,22.5_20,50.0031,22.5_20,50.0031,21.5_26,50.0031,21.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Door_01_Blue.prefab,24892,,2,0,,0,0,0,0,0,0,,,,0,,0
21,101,24892,"29,50.0031,19",3,5,"0,0,0","27.5,50.0031,17.5_26.5,50.0031,17.5_26.5,50.0031,16.5_27.5,50.0031,16.5",0,"1,1,1",Prefab/PuzzleMap/Prop/Key_Blue.prefab,,,2,0,,0,0,0,0,0,0,,,,0,,0
22,101,24893,"18,50.0031,32",5,2,"0,90,0","18.5,50.0031,30_18.5,50.0031,34_17.5,50.0031,34_17.5,50.0031,30",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv2_co01.prefab,,,2,0,,0,0,0,90000202,0,0,,,,0,,0
23,101,24895,"18.256050825119,41.97322,17.7445430755615",2,1,"0,0,0",,0,"1,1,1",,,,2,,"18.00,0.00,23.00,32.00,0.00,23.00,32.00,0.00,36.00,30.00,0.00,36.00,30.00,0.00,34.00,25.00,0.00,34.00,25.00,0.00,36.00,18.00,0.00,36.00",,,,,,,20001_0,,,,"0,24900",
24,101,24896,"15,48.39752,30",62,7,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,2,0,,0,0,0,0,0,0,,20001_0,24897,0,,1
25,101,24897,"26,50.0031,29",62,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,2,0,,0,0,0,0,0,0,,,,0,,0
26,101,24899,"18.0387592315674,50.0031,25.7094440460205",2,6,"0,0,0",,0,"1,1,1",,,,2,,"18.04,0.00,25.71,24.00,0.00,25.71,24.00,0.00,22.29,18.04,0.00,22.29",,,,,,,20001_0,,,,"0,24896",
27,101,24900,"34.0765800476074,41.97322,36.755199432373",62,13,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,2,0,,0,0,0,0,0,0,,,10,0,,0
28,101,33236,"35,50.00319,30",12,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,,,0,,0
29,101,33240,"40,50.00426,36",5,4,"0,270,0","39.5,50.00426,38_39.5,50.00426,34_40.5,50.00426,34_40.5,50.00426,38",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv4_co01.prefab,,,3,0,,0,0,0,90000301,0,0,,,,0,,0
30,101,33249,"35,50.00319,42",28,0,"0,0,0","36,50.00319,44_34,50.00319,44_34,50.00319,40_36,50.00319,40",1,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,33339,,3,0,,0,0,0,0,0,0,,,,0,,0
31,101,33339,"40,52.00307,42",29,0,"0,0,0","40.75,52.00307,43.25_39.25,52.00307,43.25_39.25,52.00307,40.75_40.75,52.00307,40.75",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ShuZhuang_1.prefab,,33249,3,0,,0,0,0,0,0,0,,,,0,,0
32,101,33390,"48.0455093383789,50.00319,59.9998359680176",14,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_ChuanSongZhen.prefab,,,3,0,,0,0,0,0,0,0,,,,0,,0
33,101,34816,"36,50.00319,64",3,5,"0,0,0","93.51653,50.00319,86.68905_92.51653,50.00319,86.68905_92.51653,50.00319,85.68905_93.51653,50.00319,85.68905",0,"1,1,1",Prefab/PuzzleMap/Prop/Key_Blue.prefab,,,3,0,,0,0,0,0,0,0,,,,0,,0
34,101,34817,"45,50.00319,60",16,5,"0,90,0","45.5,50.00319,58_45.5,50.00319,62_44.5,50.00319,62_44.5,50.00319,58",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Door_01_Blue.prefab,34816,,3,0,,0,0,0,0,0,0,,,,0,,0
35,101,34890,"35,50.00319,49",62,7,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,30001_0,34891,0,,1
36,101,34891,"39,50.00319,55",62,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,,,0,,0
37,101,34892,"30.0273666381836,41.97822,63.781135559082",2,1,"0,0,0",,0,"1,1,1",,,,3,,"30.00,0.00,62.00,44.00,0.00,62.00,44.00,0.00,48.00,30.00,0.00,48.00",,,,,,,30001_0,,,,"2,34899",
38,101,34893,"36,50.00319,62",5,2,"0,180,0","34,50.00319,61.5_38,50.00319,61.5_38,50.00319,62.5_34,50.00319,62.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv2_co01.prefab,,,3,0,,0,0,0,90000302,0,0,,,,0,,0
39,101,34894,"32.0988998413086,50.00319,50.005313873291",2,6,"0,0,0",,0,"1,1,1",,,,3,,"32.10,0.00,50.01,37.97,0.00,50.01,37.97,0.00,47.97,32.10,0.00,47.97",,,,,,,30001_0,,,,"0,34890",
40,101,34895,"33.8600635528564,41.97822,47.9164237976074",2,9,"0,0,0",,0,"1,1,1",,,,3,1,"33.86,0.00,47.92,36.14,0.00,47.92,36.14,0.00,46.08,33.86,0.00,46.08",,,,,,,,,,,"0,34897",
41,101,34896,"35,50.00319,44.4263191223145",16,9,"0,0,0","37,50.00319,44.92632_33,50.00319,44.92632_33,50.00319,43.92632_37,50.00319,43.92632",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ZhaMen_01.prefab,0,,3,0,,0,0,0,0,0,0,,,,1,,0
42,101,34897,"30,41.97822,47",62,2,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,,34896,0,"0,34898",0
43,101,34898,"26,0,47",62,12,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,,30001,0,,0
44,101,34899,"48,41.97822,53",62,13,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,0,,0,0,0,0,0,0,,,12,0,,0
45,101,34900,"35,50.00319,46",59,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,3,1,,0,0,0,0,0,0,,,,0,,0
46,101,44810,"53.5999984741211,50.00311,13.1999998092651",12,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,4,0,,0,0,0,0,0,0,,,,0,,0
47,101,44815,"45,50.00311,28",6,0,"0,90,0","82.29539,7.99986,26.15_80.29539,7.99986,26.15_80.29539,7.99986,24.15_82.29539,7.99986,24.15",0,"1,1,1",Prefab/PuzzleMap/Prop/P_Jiguan_01.prefab,,"44816,44817,44818",4,0,,0,0,0,0,0,0,,,,0,,0
48,101,44816,"53.0099983215332,50.00311,20.0699996948242",7,0,"0,180,0","51.51,50.00311,19.07_54.51,50.00311,19.07_54.51,50.00311,21.07_51.51,50.00311,21.07",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,44815,,4,0,,0,0,0,0,0,0,,,,0,,0
49,101,44817,"53.0099983215332,50.00311,22.0699996948242",7,0,"0,180,0","51.51,50.00311,21.07_54.51,50.00311,21.07_54.51,50.00311,23.07_51.51,50.00311,23.07",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,44815,,4,0,,0,0,0,0,0,0,,,,0,,0
50,101,44818,"53.0099983215332,50.00311,24.0699996948242",7,0,"0,180,0","51.51,50.00311,23.07_54.51,50.00311,23.07_54.51,50.00311,25.07_51.51,50.00311,25.07",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,44815,,4,0,,0,0,0,0,0,0,,,,0,,0
51,101,44819,"48,50.00311,33",5,1,"0,90,0","48.5,50.00311,30.5_48.5,50.00311,35.5_47.5,50.00311,35.5_47.5,50.00311,30.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,4,0,,0,0,0,90000402,0,0,,,,0,,0
52,101,44820,"60,50.00311,25",5,3,"0,0,0","62,50.00311,25.5_58,50.00311,25.5_58,50.00311,24.5_62,50.00311,24.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv3_co01.prefab,,,4,0,,0,0,0,90000401,0,0,,,,0,,0
53,101,44823,"48,50.00311,39",16,2,"0,270,0","47.5,50.00311,41_47.5,50.00311,37_48.5,50.00311,37_48.5,50.00311,41",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Door_01_yellow.prefab,44824,,4,0,,0,0,0,0,0,0,,,,0,,0
54,101,44824,"60,50.00311,23",3,2,"0,0,0","107.7954,7.99986,43.65_106.7954,7.99986,43.65_106.7954,7.99986,42.65_107.7954,7.99986,42.65",0,"1,1,1",Prefab/PuzzleMap/Prop/Key_Yellow.prefab,,,4,0,,0,0,0,0,0,0,,,,0,,0
55,101,44827,"64,50.00311,38.0080261230469",20,1,"0,0,0","103.2954,7.99986,61.15_101.2954,7.99986,61.15_101.2954,7.99986,59.15_103.2954,7.99986,59.15",0,"1,1,1",Prefab/PuzzleMap/Prop/P_Jiguan_02.prefab,44828,44829,4,0,,0,0,0,0,0,0,,,,0,,0
56,101,44828,"44,50.00311,39",19,1,"0,0,0","87.04539,7.99986,60.9_85.54539,7.99986,60.9_85.54539,7.99986,59.4_87.04539,7.99986,59.4",0,"1,1,1",Prefab/PuzzleMap/Prop/P_StoneBall_01.prefab,,,4,0,,0,0,0,0,0,0,,,,0,,0
57,101,44829,"58,50.00311,43",16,9,"0,0,0","60,50.00311,43.5_56,50.00311,43.5_56,50.00311,42.5_60,50.00311,42.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ZhaMen_01.prefab,44827,,4,0,,0,0,0,0,0,0,,,,0,,0
58,101,44831,"58,50.00311,46",14,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_ChuanSongZhen.prefab,,,4,0,,0,0,0,0,0,0,,,,0,,0
59,101,44838,"44.7900009155273,50.00311,32.5",72,0,"0,0,0",,0,"1,1,1",Prefab/humanRot/LockGreen.prefab,,,4,0,,0,0,40001,0,0,0,,,,0,"0,44839",0
60,101,44839,"53,50.00311,27.1499996185303",62,7,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,4,0,,0,0,0,0,0,0,,40001_0,44840,0,,1
61,101,44840,"55.8699989318848,50.00311,35.1500015258789",62,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,4,0,,0,0,0,0,0,0,,,,0,,0
62,101,44841,"44.9339113235474,41.97323,44.1235566139221",2,1,"0,0,0",,0,"1,1,1",,,,4,,"49.00,0.00,42.00,49.00,0.00,26.00,62.00,0.00,26.00,62.00,0.00,40.00,60.00,0.00,40.00,60.00,0.00,42.00",,,,,,,40001_0,,,,"2,44843",
63,101,44842,"50.0634088516235,50.00311,29.3410096168518",2,6,"0,0,0",,0,"1,1,1",,,,4,,"50.06,0.00,29.34,57.94,0.00,29.34,57.94,0.00,26.22,50.06,0.00,26.22",,,,,,,40001_0,,,,"0,44839",
64,101,44843,"53,41.97323,43",62,13,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,4,0,,0,0,0,0,0,0,,,15,0,,0
65,101,44846,"45,50.00311,26.1008319854736",5,1,"0,180,0","42,50.00311,25.60083_48,50.00311,25.60083_48,50.00311,26.60083_42,50.00311,26.60083",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,4,0,,0,0,0,90000400,0,0,,,,0,,0
66,101,34107,"21,50.00319,24",12,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
67,101,34337,"36.0455093383789,50.00319,69.9998321533203",14,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_ChuanSongZhen.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
68,101,34027,"20,50.00319,58",3,1,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Key_Red.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
69,101,34057,"20,50.00319,56",5,1,"0,180,0","18,50.00319,55.5_22,50.00319,55.5_22,50.00319,56.5_18,50.00319,56.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,5,0,,0,0,0,90000503,0,0,,,,0,,0
70,101,34063,"30,50.00319,54",16,1,"0,90,0","30.5,50.00319,52_30.5,50.00319,56_29.5,50.00319,56_29.5,50.00319,52",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Door_01_red.prefab,34027,,5,0,,0,0,0,0,0,0,,,,0,,0
71,101,34115,"21,50.00319,38",28,0,"0,0,0","22,50.00319,40_20,50.00319,40_20,50.00319,36_22,50.00319,36",1,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,34205,,5,0,,0,0,0,0,0,0,,,,0,,0
72,101,34198,"34,50.00319,26",19,1,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_StoneBall_01.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
73,101,34199,"34,50.00319,28",5,1,"0,0,0","36,50.00319,28.5_32,50.00319,28.5_32,50.00319,27.5_36,50.00319,27.5",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv1_co01.prefab,,,5,0,,0,0,0,90000502,0,0,,,,0,,0
74,101,34202,"28,52.00126,36",16,9,"0,0,0","30,52.00126,36.5_26,52.00126,36.5_26,52.00126,35.5_30,52.00126,35.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ZhaMen_01.prefab,34291,,5,0,,0,0,0,0,0,0,,,,0,,0
75,101,34205,"25.5,52.00307,38",29,0,"0,0,0","26.25,52.00307,39.25_24.75,52.00307,39.25_24.75,52.00307,36.75_26.25,52.00307,36.75",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ShuZhuang_1.prefab,,34115,5,0,,0,0,0,0,0,0,,,,0,,0
76,101,34214,"31,50.00319,63",52,4,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_Box_DiKuai_Ice.prefab,34301,34275,5,0,,0,0,0,0,0,0,,,,0,,0
77,101,34240,"33,50.00319,63",51,2,"0,0,0","34,50.00319,64_32,50.00319,64_32,50.00319,62_34,50.00319,62",1,"1,1,1",Prefab/PuzzleMap/Prop/P_PushBox_3.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
78,101,34275,"35.9615592956543,50.00319,67",16,8,"0,0,0","37.96156,50.00319,67.5_33.96156,50.00319,67.5_33.96156,50.00319,66.5_37.96156,50.00319,66.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_ZhaMen_01.prefab,"34214,34334",,5,0,,0,0,0,0,0,0,,,,0,,0
79,101,34291,"34,50.00319,34",20,1,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_Jiguan_02.prefab,34198,34202,5,0,,0,0,0,0,0,0,,,,0,,0
80,101,34301,"37,50.00319,59",51,4,"0,0,0","38,50.00319,60_36,50.00319,60_36,50.00319,58_38,50.00319,58",1,"1,1,1",Prefab/PuzzleMap/Prop/P_PushBox_2.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
81,101,34334,"39,50.00319,59",52,2,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_Box_DiKuai_Fire.prefab,34240,34275,5,0,,0,0,0,0,0,0,,,,0,,0
82,101,34699,"31,50.00319,57",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
83,101,34701,"33,50.00319,57",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
84,101,34700,"39,50.00319,65",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
85,101,34697,"37,50.00319,57",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
86,101,34698,"39,50.00319,57",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
87,101,34713,"35,50.00319,57",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
88,101,34703,"34.9199981689453,50.00319,61.0800018310547",56,1,"0,90,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_Zhangai_b.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
89,101,34704,"39,50.00319,61",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
90,101,34705,"39,50.00319,63",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
91,101,34708,"31,50.00319,59",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
92,101,34709,"31,50.00319,61",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
93,101,34710,"33,50.00319,63",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
94,101,34711,"31,50.00319,65",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
95,101,34712,"35,50.00319,65",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
96,101,34715,"33,50.00319,65",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
97,101,34716,"37,50.00319,65",56,0,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_DiKuai_Jia.prefab,,,5,0,,0,0,0,0,0,0,,,,0,,0
98,101,54819,"37,50.00319,47",72,0,"0,0,0",,0,"1,1,1",Prefab/humanRot/LockGreen.prefab,,,5,0,,0,0,50001,0,0,0,,,,0,,0
99,101,54820,"13.3800001144409,50.00319,50",6,0,"0,180,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/P_Jiguan_01.prefab,,"54822,54823",5,0,,0,0,0,0,0,0,,,,0,,0
100,101,54822,"31,50.00319,47",7,0,"0,90,0","32,50.00319,45.5_32,50.00319,48.5_30,50.00319,48.5_30,50.00319,45.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,54820,,5,0,,0,0,0,0,0,0,,,,0,,0
101,101,54823,"33,50.00319,47",7,0,"0,90,0","34,50.00319,45.5_34,50.00319,48.5_32,50.00319,48.5_32,50.00319,45.5",1,"1,1,1",Prefab/PuzzleMap/Prop/P_Fuqiao_01.prefab,54820,,5,0,,0,0,0,0,0,0,,,,0,,0
102,101,54824,"16,50.00319,50",5,3,"0,90,0","16.5,50.00319,48_16.5,50.00319,52_15.5,50.00319,52_15.5,50.00319,48",1,"1,1,1",Prefab/Role/Monster/m_general_01_lv3_co01.prefab,,,5,0,,0,0,0,90000504,0,0,,,,0,,0
103,101,54826,"16.3704204559326,41.97822,57.5953483581543",2,1,"0,0,0",,0,"1,1,1",,,,5,,"16.00,0.00,56.00,30.00,0.00,56.00,30.00,0.00,42.00,16.00,0.00,42.00",,,,,,,50001_0,,,,"2,54827",
104,101,54827,"27,50.00319,43",62,13,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,5,0,,0,0,0,0,0,0,,,20,0,,0
105,101,54828,"17.978551864624,50.00319,43.97119140625",2,6,"0,0,0",,0,"1,1,1",,,,5,,"17.98,0.00,43.97,23.98,0.00,43.97,23.98,0.00,42.04,17.98,0.00,42.04",,,,,,,50001_0,,,,"0,54829",
106,101,54829,"20.9748821258545,50.00319,42.9260711669922",62,7,"0,0,0",,0,"1,1,1",Prefab/PuzzleMap/Prop/Empty.prefab,,,5,0,,0,0,0,0,0,0,,50001_0,54830,0,,1
