paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
55,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
56,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
57,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
58,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
59,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
60,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
61,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
62,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
63,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
64,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
65,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
66,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
67,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
68,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
69,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
70,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
71,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
72,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
73,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
74,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
75,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
76,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
77,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
78,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
79,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
80,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
81,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
82,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
83,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
84,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
85,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
86,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
87,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
88,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
89,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
90,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
91,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
92,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
93,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
94,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
95,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
96,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
97,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
98,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
99,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
100,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
101,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
102,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
103,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
104,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
105,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
106,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
107,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
108,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
109,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
110,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
111,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
112,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
113,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
114,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
115,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
116,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
117,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
118,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
119,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
120,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
121,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
122,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
123,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
124,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
125,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
126,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
127,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
128,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
129,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
130,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
131,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
132,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
133,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
134,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
135,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
136,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
137,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
138,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
139,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
140,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
141,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
142,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
143,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
144,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
145,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
146,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
147,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
148,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
149,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
150,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
151,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
152,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
153,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
154,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
155,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
156,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
157,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
158,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
159,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
160,9000,"801,802,803,804",800,1:33370_2:16685_3:166850_6:16685_5:16685_8:16685,10000
