paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
68,武器闪电伤害提高,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10103:100,0:0,0:0,103:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
69,武器剧毒伤害提高,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10104:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
70,武器物理伤害提高,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10105:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
71,武器额外火焰伤害,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10106:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
72,武器额外极寒伤害,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10107:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
73,武器额外闪电伤害,1:10_3:10_6:10,2:100,1001111:1_111141:2,1:100,10108:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
74,武器额外剧毒伤害,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10109:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
75,武器额外物理伤害,1:10_3:10_6:10,3:100,1001111:1_100171:2_111141:3,1:100,10110:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
76,火焰抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10201:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
77,极寒抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10202:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
78,闪电抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10203:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
79,剧毒抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10204:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
80,全属性抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10205:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
81,精英怪反击伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10206:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
82,反击时间,1:10_3:10_6:10,1:100,1001111:1,1:100,10207:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
83,生命回复,1:10_3:10_6:10,1:100,1001111:1,1:100,10208:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
84,反伤,1:10_3:10_6:10,1:100,1001111:1,1:100,10209:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
85,自爆伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10210:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
86,地下城复活时间,1:10_3:10_6:10,1:100,1001111:1,1:100,10211:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
87,杀怪回血,1:10_3:10_6:10,1:100,1001111:1,1:100,10212:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
88,受到致命伤害保留1生命,1:10_3:10_6:10,1:100,1001111:1,1:100,10213:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
89,暴击,1:10_3:10_6:10,1:100,1001111:1,1:100,10214:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
90,暴击伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10215:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
91,移动速度,1:10_3:10_6:10,1:100,1001111:1,1:100,10216:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
92,攻击速度,1:10_3:10_6:10,1:100,1001111:1,1:100,10217:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
93,移动速度,1:10_3:10_6:10,1:100,1001111:1,1:100,10218:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
94,溅射数量,1:10_3:10_6:10,1:100,1001111:1,1:100,10219:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
95,溅射伤害(),1:10_3:10_6:10,1:100,1001111:1,1:100,10220:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
96,攻击距离,1:10_3:10_6:10,1:100,1001111:1,1:100,10221:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
97,中毒效果降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10228:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
98,受到致命伤害保留1生命,1:10_3:10_6:10,1:100,1001111:1,1:100,10229:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
99,抵抗破甲诅咒,1:10_3:10_6:10,1:100,1001111:1,1:100,10230:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
100,吸血比例,1:10_3:10_6:10,1:100,1001111:1_100171:2_111141:3,1:100,10231:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
101,吸血效果生效冷却时间降低,1:10_3:10_6:10,1:100,1001111:1_100171:2_111141:3,1:100,10232:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
102,击中回血固定值,1:10_3:10_6:10,1:100,1001111:1_100171:2_111141:3,1:100,10233:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
103,击中回血生效冷却时间降低,1:10_3:10_6:10,1:100,1001111:1_100171:2_111141:3,1:100,10234:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
104,死亡爆炸伤害比例,1:10_3:10_6:10,1:100,1001111:1,1:100,10235:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
105,传播几率,1:10_3:10_6:10,1:100,1001111:1,1:100,10236:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
106,传播触发冷却时间降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10237:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
107,防御,1:10_3:10_6:10,1:100,1001111:1,1:100,10224:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
108,抵抗衰弱诅咒,1:10_3:10_6:10,1:100,1001111:1,1:100,10238:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
109,基础削韧,1:10_3:10_6:10,1:100,1001111:1,1:100,10239:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
110,额外削韧倍率,1:10_3:10_6:10,1:100,1001111:1,1:100,10240:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
111,吸血效果生效冷却时间降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10232:10,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
112,无属性火焰伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10101:100,0:0,0:0,101:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
113,无属性极寒伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10102:100,0:0,0:0,102:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
114,无属性闪电伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10103:100,0:0,0:0,103:100,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
115,无属性剧毒伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10104:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
116,无属性物理伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10105:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
117,无属性额外火焰伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10106:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
118,无属性额外极寒伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10107:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
119,无属性额外闪电伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10108:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
120,无属性额外剧毒伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10109:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
121,无属性额外物理伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10110:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
122,对精英怪伤害提升,1:10_3:10_6:10,1:100,1001111:1,1:100,10241:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
123,对普通怪伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10242:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
124,受到精英怪伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10243:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
125,受到普通怪伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10244:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
126,受到火伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10245:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
127,受到冰伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10246:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
128,受到电伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10247:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
129,受到毒伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10248:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
130,受到近战伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10249:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
131,受到远程伤害降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10250:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
132,受到伤害时对攻击者造成X伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10251:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
133,眩晕几率,1:10_3:10_6:10,1:100,1001111:1,1:100,10252:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
134,自己死亡时爆炸，造成范围伤害x点,1:10_3:10_6:10,1:100,1001111:1,1:100,10253:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
135,生命药剂冷却时间降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10254:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
136,药剂生命回复效果增加,1:10_3:10_6:10,1:100,1001111:1,1:100,10255:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
137,药剂免疫时间增加,1:10_3:10_6:10,1:100,1001111:1,1:100,10256:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
138,吸收受到的伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10257:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
139,受到伤害的转化成生命值,1:10_3:10_6:10,1:100,1001111:1,1:100,10258:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
140,攻击附加爆炸效果，对周围所有敌人造成x%的火伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10259:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
141,攻击产生溅射伤害，对周围所有目标造成x%的冰伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10260:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
142,攻击产生连锁闪电，对周围所有目标造成x%闪电伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10261:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
143,毒爆+传染，中毒的敌人会把毒素传染给周围所有的敌人，造成x%毒素伤害,1:10_3:10_6:10,1:100,1001111:1,1:100,10262:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
144,火属性攻击增加灼烧几率,1:10_3:10_6:10,1:100,1001111:1_100171:2,1:100,10263:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
145,冰属性攻击增加冰结几率,1:10_3:10_6:10,1:100,1001111:1_100171:2,1:100,10264:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
146,电属性攻击增加麻痹几率,1:10_3:10_6:10,1:100,1001111:1_100171:2,1:100,10265:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
147,毒属性攻击增加中毒几率,1:10_3:10_6:10,1:100,1001111:1_100171:2,1:100,10266:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
148,普通攻击额外造成伤害的伤害比例,1:10_3:10_6:10,1:100,1001111:1,1:100,10267:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
149,在地下城安息之地中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10268:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
150,在地下城静水湖中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10269:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
151,在地下城迷雾森林中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10270:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
152,在地下城熔岩地窟中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10271:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
153,在地下城雷霆镇中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10272:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
154,在地下城灼热矿井中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10273:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
155,在地下城冰冻高地中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10274:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
156,在地下城积雪峡谷中攻击伤害提高,1:10_3:10_6:10,1:100,1001111:1,1:100,10275:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
157,6~10倍速无属性鞋,1:10_3:10_6:10,2:100,1001111:1_10276:2,0:0,0:0,0:0,0:0,0:400,0:10,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
158,部位7最多2抗性2垃圾词条,1:10_3:10_6:10,1:100,1001111:1,6:100,10277:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
159,经验加成,1:10_3:10_6:10,1:100,1001111:1,6:100,10225:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
160,攻速2档 700,1:10_3:10_6:10,1:100,1001111:1,1:100,10278:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
161,攻速3档 1500,1:10_3:10_6:10,1:100,1001111:1,1:100,10279:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
162,攻速4档 2400,1:10_3:10_6:10,1:100,1001111:1,1:100,10280:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
163,攻速5档 3500,1:10_3:10_6:10,1:100,1001111:1,1:100,10281:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
164,草丛瞬间埋伏,1:10_3:10_6:10,1:100,1001111:1,1:100,10282:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
165,减技能cd,1:10_3:10_6:10,1:100,1001111:1,1:100,10283:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
166,全属性抗性,1:10_3:10_6:10,1:100,1001111:1,1:100,10284:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
167,pvp吸血比例,1:10_3:10_6:10,1:100,1001111:1,1:100,10285:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
168,pvp吸血效果生效冷却时间降低,1:10_3:10_6:10,1:100,1001111:1,1:100,10286:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
169,pvp击中回血固定值,1:10_3:10_6:10,1:100,1001111:1,1:100,10287:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
171,攻击+垃圾,1:10_3:10_6:10,1:100,1001111:1,1:100,10288:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
172,攻击+击中回血,1:10_3:10_6:10,1:100,1001111:1,1:100,10289:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
173,防御+垃圾,1:10_3:10_6:10,1:100,1001211:1,1:100,10290:100,0:0,0:0,0:0,0:0,0:100_1:10_2:10_3:10_4:10_5:10,1:10_2:10_3:10_4:10_5:10,1001811:1_3001811:2
