paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
40006,4,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
40008,4,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
110002,11,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
110004,11,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
110006,11,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
110008,11,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
120002,12,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
120004,12,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
120006,12,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
120008,12,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
130002,13,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
130004,13,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
130006,13,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
130008,13,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
140002,14,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
140004,14,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
140006,14,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
140008,14,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
210002,21,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
210004,21,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
210006,21,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
210008,21,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
220002,22,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
220004,22,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
220006,22,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
220008,22,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
230002,23,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
230004,23,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
230006,23,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
230008,23,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
240002,24,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
240004,24,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
240006,24,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
240008,24,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
310002,31,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
310004,31,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
310006,31,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
310008,31,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
320002,32,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
320004,32,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
320006,32,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
320008,32,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
330002,33,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
330004,33,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
330006,33,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
330008,33,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
340002,34,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
340004,34,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
340006,34,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
340008,34,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
410002,41,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
410004,41,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
410006,41,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
410008,41,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
420002,42,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
420004,42,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
420006,42,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
420008,42,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
430002,43,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
430004,43,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
430006,43,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
430008,43,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
440002,44,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
440004,44,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
440006,44,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
440008,44,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
510002,51,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
510004,51,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
510006,51,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
510008,51,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
520002,52,2,7402:0_8402:0_9402:0_10193:3000_10196:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,冰属性攻击有几率冰冻目标并造成20%冰伤害
520004,52,4,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到所有伤害降低30%
520006,52,6,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,冰伤害增加40%
520008,52,8,7402:0_8402:0_9402:0_10193:3000_10196:1000_10184:1000_10112:1000_10198:0_10202:0_10187:2000_10197:0_10199:0_10200:0_10201:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生溅射伤害，对周围所有目标造成60%冰伤害
530002,53,2,7402:0_8402:0_9402:0_10194:3000_10196:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,电属性攻击有几率麻痹目标并造成20%电伤害
530004,53,4,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,吸收30%受到的伤害
530006,53,6,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,电伤害增加40%
530008,53,8,7402:0_8402:0_9402:0_10194:3000_10196:1000_10184:1000_10113:1000_10197:0_10200:0_10188:2000_10198:0_10199:0_10201:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生连锁闪电，对周围所有目标造成60%电伤害
540002,54,2,7402:0_8402:0_9402:0_10195:3000_10196:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,毒属性攻击有几率使目标中毒并造成20%毒伤害
540004,54,4,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,受到伤害的15%转化为自身生命值
540006,54,6,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,毒伤害增加40%
540008,54,8,7402:0_8402:0_9402:0_10195:3000_10196:1000_10185:1000_10114:1000_10204:0_10203:0_10189:2000_10197:0_10198:0_10199:0_10200:0_10201:0_10202:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,中毒的敌人会把毒素传染给周围所有敌人，造成60%毒伤害
610002,61,2,7402:0_8402:0_9402:0_10192:3000_10196:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:500_5402:500_6402:500,4402:500_5402:500_6402:500,火属性攻击有几率燃烧目标并造成20%火伤害
610004,61,4,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:1000_5402:1000_6402:1000,4402:1000_5402:1000_6402:1000,防御效果提升30%
610006,61,6,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:2000_5402:2000_6402:2000,4402:2000_5402:2000_6402:2000,火伤害增加40%
610008,61,8,7402:0_8402:0_9402:0_10192:3000_10196:1000_10184:1000_10111:1000_10199:0_10201:0_10186:2000_10197:0_10198:0_10200:0_10202:0_10203:0_10204:0_4402:3000_5402:3000_6402:3000,4402:3000_5402:3000_6402:3000,攻击产生爆炸伤害，对周围所有目标造成60%火伤害
