paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
100308,1003,8,8,8,100,7000,7200,1,
100309,1003,9,9,9,101,8000,8200,2,
100310,1003,10,9999999,10,100,9000,9200,2,
100311,1003,10,9999999,10,20,10000,10000,1,
100401,1004,0,1,1,100,0,200,1,
100402,1004,2,2,2,100,1000,1200,1,
100403,1004,3,3,3,100,2000,2200,1,
100404,1004,4,4,4,100,3000,3200,1,
100405,1004,5,5,5,100,4000,4200,1,
100406,1004,6,6,6,100,5000,5200,1,
100407,1004,7,7,7,100,6000,6200,1,
100408,1004,8,8,8,100,7000,7200,1,
100409,1004,9,9,9,100,8000,8200,1,
100410,1004,10,9999999,10,100,9000,9200,1,
100411,1004,10,9999999,10,20,10000,10000,1,
100501,1005,0,1,1,100,0,200,1,
100502,1005,2,2,2,100,1000,1200,1,
100503,1005,3,4,3,100,2000,2200,1,
100504,1005,5,5,4,100,3000,3200,1,
100505,1005,6,7,5,100,4000,4200,1,
100506,1005,8,8,6,100,5000,5200,1,
100507,1005,9,10,7,100,6000,6200,1,
100508,1005,11,11,8,100,7000,7200,1,
100509,1005,12,13,9,100,8000,8200,1,
100510,1005,14,9999999,10,100,9000,9200,1,
100511,1005,14,9999999,10,20,10000,10000,1,
100601,1006,0,1,1,100,0,200,1,
100602,1006,2,3,2,100,1000,1200,1,
100603,1006,4,5,3,100,2000,2200,1,
100604,1006,6,7,4,100,3000,3200,1,
100605,1006,8,9,5,100,4000,4200,1,
100606,1006,10,11,6,100,5000,5200,1,
100607,1006,12,13,7,100,6000,6200,1,
100608,1006,14,15,8,100,7000,7200,1,
100609,1006,16,17,9,100,8000,8200,1,
100610,1006,18,9999999,10,100,9000,9200,1,
100611,1006,18,9999999,10,20,10000,10000,1,
100701,1007,0,1,1,100,0,200,1,
100702,1007,2,3,2,100,1000,1200,1,
100703,1007,4,6,3,100,2000,2200,1,
100704,1007,7,8,4,100,3000,3200,1,
100705,1007,9,10,5,100,4000,4200,1,
100706,1007,11,12,6,100,5000,5200,1,
100707,1007,13,15,7,100,6000,6200,1,
100708,1007,16,17,8,100,7000,7200,1,
100709,1007,18,19,9,100,8000,8200,1,
100710,1007,20,9999999,10,100,9000,9200,1,
100711,1007,20,9999999,10,20,10000,10000,1,
100801,1008,0,1,1,100,0,200,1,
100802,1008,2,3,2,100,1000,1200,1,
100803,1008,4,6,3,100,2000,2200,1,
100804,1008,7,8,4,100,3000,3200,1,
100805,1008,9,10,5,100,4000,4200,1,
100806,1008,11,12,6,100,5000,5200,1,
100807,1008,13,15,7,100,6000,6200,1,
100808,1008,16,17,8,100,7000,7200,1,
100809,1008,18,19,9,100,8000,8200,1,
100810,1008,20,9999999,10,100,9000,9200,1,
100811,1008,20,9999999,10,20,10000,10000,1,
100901,1009,0,1,1,100,0,200,1,
100902,1009,2,3,2,100,1000,1200,1,
100903,1009,4,6,3,100,2000,2200,1,
100904,1009,7,8,4,100,3000,3200,1,
100905,1009,9,10,5,100,4000,4200,1,
100906,1009,11,12,6,100,5000,5200,1,
100907,1009,13,15,7,100,6000,6200,1,
100908,1009,16,17,8,100,7000,7200,1,
100909,1009,18,19,9,100,8000,8200,1,
100910,1009,20,9999999,10,100,9000,9200,1,
100911,1009,20,9999999,10,20,10000,10000,1,
101001,1010,0,1,1,100,0,200,1,
101002,1010,2,3,2,100,1000,1200,1,
101003,1010,4,6,3,100,2000,2200,1,
101004,1010,7,8,4,100,3000,3200,1,
101005,1010,9,10,5,100,4000,4200,1,
101006,1010,11,12,6,100,5000,5200,1,
101007,1010,13,15,7,100,6000,6200,1,
101008,1010,16,17,8,100,7000,7200,1,
101009,1010,18,19,9,100,8000,8200,1,
101010,1010,20,9999999,10,100,9000,9200,1,
101011,1010,20,9999999,10,20,10000,10000,1,
101101,1011,0,1,1,100,0,200,1,
101102,1011,2,3,2,100,1000,1200,1,
101103,1011,4,6,3,100,2000,2200,1,
101104,1011,7,8,4,100,3000,3200,1,
101105,1011,9,10,5,100,4000,4200,1,
101106,1011,11,12,6,100,5000,5200,1,
101107,1011,13,15,7,100,6000,6200,1,
101108,1011,16,17,8,100,7000,7200,1,
101109,1011,18,19,9,100,8000,8200,1,
101110,1011,20,9999999,10,100,9000,9200,1,
101111,1011,20,9999999,10,20,10000,10000,1,
101201,1012,0,1,1,100,0,200,1,
101202,1012,2,3,2,100,1000,1200,1,
101203,1012,4,6,3,100,2000,2200,1,
101204,1012,7,8,4,100,3000,3200,1,
101205,1012,9,10,5,100,4000,4200,1,
101206,1012,11,12,6,100,5000,5200,1,
101207,1012,13,15,7,100,6000,6200,1,
101208,1012,16,17,8,100,7000,7200,1,
101209,1012,18,19,9,100,8000,8200,1,
101210,1012,20,9999999,10,100,9000,9200,1,
101211,1012,20,9999999,10,20,10000,10000,1,
101301,1013,0,1,1,100,0,200,1,
101302,1013,2,3,2,100,1000,1200,1,
101303,1013,4,6,3,100,2000,2200,1,
101304,1013,7,8,4,100,3000,3200,1,
101305,1013,9,10,5,100,4000,4200,1,
101306,1013,11,12,6,100,5000,5200,1,
101307,1013,13,15,7,100,6000,6200,1,
101308,1013,16,17,8,100,7000,7200,1,
101309,1013,18,19,9,100,8000,8200,1,
101310,1013,20,9999999,10,100,9000,9200,1,
101311,1013,20,9999999,10,20,10000,10000,1,
101401,1014,0,1,1,100,0,200,1,
101402,1014,2,3,2,100,1000,1200,1,
101403,1014,4,6,3,100,2000,2200,1,
101404,1014,7,8,4,100,3000,3200,1,
101405,1014,9,10,5,100,4000,4200,1,
101406,1014,11,12,6,100,5000,5200,1,
101407,1014,13,15,7,100,6000,6200,1,
101408,1014,16,17,8,100,7000,7200,1,
101409,1014,18,19,9,100,8000,8200,1,
101410,1014,20,9999999,10,100,9000,9200,1,
101411,1014,20,9999999,10,20,10000,10000,1,
101501,1015,0,1,1,100,0,200,1,
101502,1015,2,3,2,100,1000,1200,1,
101503,1015,4,6,3,100,2000,2200,1,
101504,1015,7,8,4,100,3000,3200,1,
101505,1015,9,10,5,100,4000,4200,1,
101506,1015,11,12,6,100,5000,5200,1,
101507,1015,13,15,7,100,6000,6200,1,
101508,1015,16,17,8,100,7000,7200,1,
101509,1015,18,19,9,100,8000,8200,1,
101510,1015,20,9999999,10,100,9000,9200,1,
101511,1015,20,9999999,10,20,10000,10000,1,
101601,1016,0,1,1,100,0,200,1,
101602,1016,2,3,2,100,1000,1200,1,
101603,1016,4,6,3,100,2000,2200,1,
101604,1016,7,8,4,100,3000,3200,1,
101605,1016,9,10,5,100,4000,4200,1,
101606,1016,11,12,6,100,5000,5200,1,
101607,1016,13,15,7,100,6000,6200,1,
101608,1016,16,17,8,100,7000,7200,1,
101609,1016,18,19,9,100,8000,8200,1,
101610,1016,20,9999999,10,100,9000,9200,1,
101611,1016,20,9999999,10,20,10000,10000,1,
10001,100,0,9999999,1,100,0,10000,100,随机词条万分比
10002,100,0,9999999,1,5,10000,10000,100,随机词条万分比
10101,101,0,9999999,1,100,0,10000,1,随机词条固定值
10102,101,0,9999999,1,5,10000,10000,1,随机词条固定值
10201,102,0,9999999,1,100,0,1000,100,抗性
10202,102,0,9999999,1,90,1001,2000,100,抗性
10203,102,0,9999999,1,80,2001,3000,100,抗性
10204,102,0,9999999,1,70,3001,4000,100,抗性
10205,102,0,9999999,1,60,4001,5000,100,抗性
10206,102,0,9999999,1,50,5001,6000,100,抗性
10207,102,0,9999999,1,40,6001,7000,100,抗性
10208,102,0,9999999,1,30,7001,8000,100,抗性
10209,102,0,9999999,1,30,8001,9000,100,抗性
10210,102,0,9999999,1,30,9001,10000,100,抗性
10211,102,0,9999999,1,5,10000,10000,100,抗性
10301,103,0,9999999,1,100,0,10000,10000,随机词条百万分比
10302,103,0,9999999,1,5,10000,10000,10000,随机词条百万分比
