paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3
66,32500,1071050,3010101:1759_3020101:352_3030101:28136_9101:7034
67,33000,1104050,3010101:1829_3020101:366_3030101:29264_9101:7316
68,33500,1137550,3010101:1902_3020101:380_3030101:30432_9101:7608
69,34000,1171550,3010101:1978_3020101:396_3030101:31648_9101:7912
70,34500,1206050,3010101:2057_3020101:411_3030101:32912_9101:8228
71,35000,1241050,3010101:2263_3020101:453_3030101:36200_9101:9050
72,35500,1276550,3010101:2353_3020101:471_3030101:37648_9101:9412
73,36000,1312550,3010101:2447_3020101:489_3030101:39152_9101:9788
74,36500,1349050,3010101:2545_3020101:509_3030101:40720_9101:10180
75,37000,1386050,3010101:2647_3020101:529_3030101:42352_9101:10588
76,37500,1423550,3010101:2753_3020101:551_3030101:44048_9101:11012
77,38000,1461550,3010101:2863_3020101:573_3030101:45808_9101:11452
78,38500,1500050,3010101:2978_3020101:596_3030101:47640_9101:11910
79,39000,1539050,3010101:3097_3020101:619_3030101:49544_9101:12386
80,39500,1578550,3010101:3221_3020101:644_3030101:51528_9101:12882
81,40000,1618550,3010101:3543_3020101:709_3030101:56680_9101:14170
82,40500,1659050,3010101:3684_3020101:737_3030101:58944_9101:14736
83,41000,1700050,3010101:3832_3020101:766_3030101:61304_9101:15326
84,41500,1741550,3010101:3985_3020101:797_3030101:63760_9101:15940
85,42000,1783550,3010101:4145_3020101:829_3030101:66312_9101:16578
86,42500,1826050,3010101:4311_3020101:862_3030101:68968_9101:17242
87,43000,1869050,3010101:4483_3020101:897_3030101:71728_9101:17932
88,43500,1912550,3010101:4663_3020101:933_3030101:74600_9101:18650
89,44000,1956550,3010101:4849_3020101:970_3030101:77584_9101:19396
90,44500,2001050,3010101:5043_3020101:1009_3030101:80688_9101:20172
91,45000,2046050,3010101:5548_3020101:1110_3030101:88760_9101:22190
92,45500,2091550,3010101:5770_3020101:1154_3030101:92312_9101:23078
93,46000,2137550,3010101:6001_3020101:1200_3030101:96008_9101:24002
94,46500,2184050,3010101:6241_3020101:1248_3030101:99848_9101:24962
95,47000,2231050,3010101:6490_3020101:1298_3030101:103840_9101:25960
96,47500,2278550,3010101:6750_3020101:1350_3030101:107992_9101:26998
97,48000,2326550,3010101:7020_3020101:1404_3030101:112312_9101:28078
98,48500,2375050,3010101:7301_3020101:1460_3030101:116808_9101:29202
99,49000,2424050,3010101:7593_3020101:1519_3030101:121480_9101:30370
100,49500,2473550,3010101:7896_3020101:1579_3030101:126336_9101:31584
101,50000,2523550,3010101:8686_3020101:1737_3030101:138968_9101:34742
102,50500,2574050,3010101:9033_3020101:1807_3030101:144528_9101:36132
103,51000,2625050,3010101:9395_3020101:1879_3030101:150312_9101:37578
104,51500,2676550,3010101:9771_3020101:1954_3030101:156328_9101:39082
105,52000,2728550,3010101:10162_3020101:2032_3030101:162584_9101:40646
106,52500,2781050,3010101:10568_3020101:2114_3030101:169088_9101:42272
107,53000,2834050,3010101:10991_3020101:2198_3030101:175848_9101:43962
108,53500,2887550,3010101:11430_3020101:2286_3030101:182880_9101:45720
109,54000,2941550,3010101:11887_3020101:2377_3030101:190192_9101:47548
110,54500,2996050,3010101:12363_3020101:2473_3030101:197800_9101:49450
111,55000,3051050,3010101:13599_3020101:2720_3030101:217584_9101:54396
112,55500,3106550,3010101:14143_3020101:2829_3030101:226288_9101:56572
113,56000,3162550,3010101:14709_3020101:2942_3030101:235336_9101:58834
114,56500,3219050,3010101:15297_3020101:3059_3030101:244752_9101:61188
115,57000,3276050,3010101:15909_3020101:3182_3030101:254544_9101:63636
116,57500,3333550,3010101:16546_3020101:3309_3030101:264728_9101:66182
117,58000,3391550,3010101:17208_3020101:3442_3030101:275320_9101:68830
118,58500,3450050,3010101:17896_3020101:3579_3030101:286336_9101:71584
119,59000,3509050,3010101:18612_3020101:3722_3030101:297792_9101:74448
120,59500,3568550,3010101:19357_3020101:3871_3030101:309704_9101:77426
121,60000,3628550,3010101:21292_3020101:4258_3030101:340672_9101:85168
122,60500,3689050,3010101:22144_3020101:4429_3030101:354296_9101:88574
123,61000,3750050,3010101:23029_3020101:4606_3030101:368464_9101:92116
124,61500,3811550,3010101:23950_3020101:4790_3030101:383200_9101:95800
125,62000,3873550,3010101:24908_3020101:4982_3030101:398528_9101:99632
126,62500,3936050,3010101:25905_3020101:5181_3030101:414472_9101:103618
127,63000,3999050,3010101:26941_3020101:5388_3030101:431048_9101:107762
128,63500,4062550,3010101:28018_3020101:5604_3030101:448288_9101:112072
129,64000,4126550,3010101:29139_3020101:5828_3030101:466216_9101:116554
130,64500,4191050,3010101:30304_3020101:6061_3030101:484864_9101:121216
131,65000,4256050,3010101:33335_3020101:6667_3030101:533352_9101:133338
132,65500,4321550,3010101:34668_3020101:6934_3030101:554688_9101:138672
133,66000,4387550,3010101:36055_3020101:7211_3030101:576872_9101:144218
134,66500,4454050,3010101:37497_3020101:7499_3030101:599944_9101:149986
135,67000,4521050,3010101:38997_3020101:7799_3030101:623944_9101:155986
136,67500,4588550,3010101:40557_3020101:8111_3030101:648904_9101:162226
137,68000,4656550,3010101:42179_3020101:8436_3030101:674864_9101:168716
138,68500,4725050,3010101:43866_3020101:8773_3030101:701856_9101:175464
139,69000,4794050,3010101:45621_3020101:9124_3030101:729928_9101:182482
140,69500,4863550,3010101:47446_3020101:9489_3030101:759128_9101:189782
141,70000,4933550,3010101:52190_3020101:10438_3030101:835040_9101:208760
142,70500,5004050,3010101:54278_3020101:10856_3030101:868440_9101:217110
143,71000,5075050,3010101:56449_3020101:11290_3030101:903176_9101:225794
144,71500,5146550,3010101:58707_3020101:11741_3030101:939304_9101:234826
145,72000,5218550,3010101:61055_3020101:12211_3030101:976880_9101:244220
146,72500,5291050,3010101:63497_3020101:12699_3030101:1015952_9101:253988
147,73000,5364050,3010101:66037_3020101:13207_3030101:1056592_9101:264148
148,73500,5437550,3010101:68679_3020101:13736_3030101:1098856_9101:274714
149,74000,5511550,3010101:71426_3020101:14285_3030101:1142808_9101:285702
150,74500,5586050,3010101:74283_3020101:14857_3030101:1188520_9101:297130
151,75000,5661050,3010101:81711_3020101:16342_3030101:1307376_9101:326844
152,75500,5736550,3010101:84980_3020101:16996_3030101:1359672_9101:339918
153,76000,5812550,3010101:88379_3020101:17676_3030101:1414056_9101:353514
154,76500,5889050,3010101:91914_3020101:18383_3030101:1470616_9101:367654
155,77000,5966050,3010101:95590_3020101:19118_3030101:1529440_9101:382360
156,77500,6043550,3010101:99414_3020101:19883_3030101:1590616_9101:397654
157,78000,6121550,3010101:103390_3020101:20678_3030101:1654240_9101:413560
158,78500,6200050,3010101:107526_3020101:21505_3030101:1720408_9101:430102
159,79000,6279050,3010101:111827_3020101:22365_3030101:1789224_9101:447306
160,-1,6279050,3010101:116300_3020101:23260_3030101:1860792_9101:465198
