paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,15,16,17,18,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,38400001:,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
42711008,8级木刀,迷宫,110081,1,1,1,1:10,10,8,8,46700001:2,0:100,0,2:100,1008112:1_1008162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711009,9级木刀,迷宫,110091,1,1,1,1:10,10,9,9,46700001:2,0:100,0,2:100,1009112:1_1009162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711010,10级木刀,迷宫,110101,1,1,1,1:10,10,10,10,46700001:2,0:100,0,2:100,1010112:1_1010162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711011,11级铁刀,迷宫,110111,1,1,1,1:10,20,11,11,46700001:2,0:100,0,2:100,1011112:1_1011162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711012,12级铁刀,迷宫,110121,1,1,1,1:10,20,12,12,46700001:2,0:100,0,2:100,1012112:1_1012162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711013,13级铁刀,迷宫,110131,1,1,1,1:10,20,13,13,46700001:2,0:100,0,2:100,1013112:1_1013162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711014,14级铁刀,迷宫,110141,1,1,1,1:10,20,14,14,46700001:2,0:100,0,2:100,1014112:1_1014162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711015,15级铁刀,迷宫,110151,1,1,1,1:10,20,15,15,46700001:2,0:100,0,2:100,1015112:1_1015162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711016,16级铁刀,迷宫,110161,1,1,1,1:10,20,16,16,46700001:3,0:100,0,2:100,1016112:1_1016162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711017,17级铁刀,迷宫,110171,1,1,1,1:10,20,17,17,46700001:3,0:100,0,2:100,1017112:1_1017162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711018,18级铁刀,迷宫,110181,1,1,1,1:10,20,18,18,46700001:3,0:100,0,2:100,1018112:1_1018162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711019,19级铁刀,迷宫,110191,1,1,1,1:10,20,19,19,46700001:3,0:100,0,2:100,1019112:1_1019162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711020,20级铁刀,迷宫,110201,1,1,1,1:10,20,20,20,46700001:3,0:100,0,2:100,1020112:1_1020162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711021,21级青钢刀,迷宫,110211,1,1,1,1:10,30,21,21,46700001:3,0:100,0,2:100,1021112:1_1021162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711022,22级青钢刀,迷宫,110221,1,1,1,1:10,30,22,22,46700001:3,0:100,0,2:100,1022112:1_1022162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711023,23级青钢刀,迷宫,110231,1,1,1,1:10,30,23,23,46700001:3,0:100,0,2:100,1023112:1_1023162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711024,24级青钢刀,迷宫,110241,1,1,1,1:10,30,24,24,46700001:3,0:100,0,2:100,1024112:1_1024162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711025,25级青钢刀,迷宫,110251,1,1,1,1:10,30,25,25,46700001:3,0:100,0,2:100,1025112:1_1025162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711026,26级青钢刀,迷宫,110261,1,1,1,1:10,30,26,26,46700001:4,0:100,0,2:100,1026112:1_1026162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711027,27级青钢刀,迷宫,110271,1,1,1,1:10,30,27,27,46700001:4,0:100,0,2:100,1027112:1_1027162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711028,28级青钢刀,迷宫,110281,1,1,1,1:10,30,28,28,46700001:4,0:100,0,2:100,1028112:1_1028162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711029,29级青钢刀,迷宫,110291,1,1,1,1:10,30,29,29,46700001:4,0:100,0,2:100,1029112:1_1029162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711030,30级青钢刀,迷宫,110301,1,1,1,1:10,30,30,30,46700001:4,0:100,0,2:100,1030112:1_1030162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711031,31级流云刀,迷宫,110311,1,1,1,1:10,30,31,31,46700001:4,0:100,0,2:100,1031112:1_1031162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711032,32级流云刀,迷宫,110321,1,1,1,1:10,30,32,32,46700001:4,0:100,0,2:100,1032112:1_1032162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711033,33级流云刀,迷宫,110331,1,1,1,1:10,30,33,33,46700001:4,0:100,0,2:100,1033112:1_1033162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711034,34级流云刀,迷宫,110341,1,1,1,1:10,30,34,34,46700001:4,0:100,0,2:100,1034112:1_1034162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711035,35级流云刀,迷宫,110351,1,1,1,1:10,30,35,35,46700001:4,0:100,0,2:100,1035112:1_1035162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711036,36级流云刀,迷宫,110361,1,1,1,1:10,30,36,36,46700001:5,0:100,0,2:100,1036112:1_1036162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711037,37级流云刀,迷宫,110371,1,1,1,1:10,30,37,37,46700001:5,0:100,0,2:100,1037112:1_1037162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711038,38级流云刀,迷宫,110381,1,1,1,1:10,30,38,38,46700001:5,0:100,0,2:100,1038112:1_1038162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711039,39级流云刀,迷宫,110391,1,1,1,1:10,30,39,39,46700001:5,0:100,0,2:100,1039112:1_1039162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711040,40级流云刀,迷宫,110401,1,1,1,1:10,30,40,40,46700001:5,0:100,0,2:100,1040112:1_1040162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711041,41级飞虹刀,迷宫,110411,1,1,1,1:10,30,41,41,46700001:5,0:100,0,2:100,1041112:1_1041162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711042,42级飞虹刀,迷宫,110421,1,1,1,1:10,30,42,42,46700001:5,0:100,0,2:100,1042112:1_1042162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711043,43级飞虹刀,迷宫,110431,1,1,1,1:10,30,43,43,46700001:5,0:100,0,2:100,1043112:1_1043162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711044,44级飞虹刀,迷宫,110441,1,1,1,1:10,30,44,44,46700001:5,0:100,0,2:100,1044112:1_1044162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711045,45级飞虹刀,迷宫,110451,1,1,1,1:10,30,45,45,46700001:5,0:100,0,2:100,1045112:1_1045162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711046,46级飞虹刀,迷宫,110461,1,1,1,1:10,30,46,46,46700001:6,0:100,0,2:100,1046112:1_1046162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711047,47级飞虹刀,迷宫,110471,1,1,1,1:10,30,47,47,46700001:6,0:100,0,2:100,1047112:1_1047162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711048,48级飞虹刀,迷宫,110481,1,1,1,1:10,30,48,48,46700001:6,0:100,0,2:100,1048112:1_1048162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711049,49级飞虹刀,迷宫,110491,1,1,1,1:10,30,49,49,46700001:6,0:100,0,2:100,1049112:1_1049162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711050,50级飞虹刀,迷宫,110501,1,1,1,1:10,30,50,50,46700001:6,0:100,0,2:100,1050112:1_1050162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711051,51级紫金刀,迷宫,110511,1,1,1,1:10,30,51,51,46700001:6,0:100,0,2:100,1051112:1_1051162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711052,52级紫金刀,迷宫,110521,1,1,1,1:10,30,52,52,46700001:6,0:100,0,2:100,1052112:1_1052162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711053,53级紫金刀,迷宫,110531,1,1,1,1:10,30,53,53,46700001:6,0:100,0,2:100,1053112:1_1053162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711054,54级紫金刀,迷宫,110541,1,1,1,1:10,30,54,54,46700001:6,0:100,0,2:100,1054112:1_1054162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711055,55级紫金刀,迷宫,110551,1,1,1,1:10,30,55,55,46700001:6,0:100,0,2:100,1055112:1_1055162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711056,56级紫金刀,迷宫,110561,1,1,1,1:10,30,56,56,46700001:7,0:100,0,2:100,1056112:1_1056162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711057,57级紫金刀,迷宫,110571,1,1,1,1:10,30,57,57,46700001:7,0:100,0,2:100,1057112:1_1057162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711058,58级紫金刀,迷宫,110581,1,1,1,1:10,30,58,58,46700001:7,0:100,0,2:100,1058112:1_1058162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711059,59级紫金刀,迷宫,110591,1,1,1,1:10,30,59,59,46700001:7,0:100,0,2:100,1059112:1_1059162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711060,60级紫金刀,迷宫,110601,1,1,1,1:10,30,60,60,46700001:7,0:100,0,2:100,1060112:1_1060162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711061,61级巨阙刀,迷宫,110611,1,1,1,1:10,30,61,61,46700001:7,0:100,0,2:100,1061112:1_1061162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711062,62级巨阙刀,迷宫,110621,1,1,1,1:10,30,62,62,46700001:7,0:100,0,2:100,1062112:1_1062162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711063,63级巨阙刀,迷宫,110631,1,1,1,1:10,30,63,63,46700001:7,0:100,0,2:100,1063112:1_1063162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711064,64级巨阙刀,迷宫,110641,1,1,1,1:10,30,64,64,46700001:7,0:100,0,2:100,1064112:1_1064162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711065,65级巨阙刀,迷宫,110651,1,1,1,1:10,30,65,65,46700001:7,0:100,0,2:100,1065112:1_1065162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711066,66级巨阙刀,迷宫,110661,1,1,1,1:10,30,66,66,46700001:8,0:100,0,2:100,1066112:1_1066162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711067,67级巨阙刀,迷宫,110671,1,1,1,1:10,30,67,67,46700001:8,0:100,0,2:100,1067112:1_1067162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711068,68级巨阙刀,迷宫,110681,1,1,1,1:10,30,68,68,46700001:8,0:100,0,2:100,1068112:1_1068162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711069,69级巨阙刀,迷宫,110691,1,1,1,1:10,30,69,69,46700001:8,0:100,0,2:100,1069112:1_1069162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711070,70级巨阙刀,迷宫,110701,1,1,1,1:10,30,70,70,46700001:8,0:100,0,2:100,1070112:1_1070162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711071,71级天罡刀,迷宫,110711,1,1,1,1:10,30,71,71,46700001:8,0:100,0,2:100,1071112:1_1071162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711072,72级天罡刀,迷宫,110721,1,1,1,1:10,30,72,72,46700001:8,0:100,0,2:100,1072112:1_1072162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711073,73级天罡刀,迷宫,110731,1,1,1,1:10,30,73,73,46700001:8,0:100,0,2:100,1073112:1_1073162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711074,74级天罡刀,迷宫,110741,1,1,1,1:10,30,74,74,46700001:8,0:100,0,2:100,1074112:1_1074162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711075,75级天罡刀,迷宫,110751,1,1,1,1:10,30,75,75,46700001:8,0:100,0,2:100,1075112:1_1075162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711076,76级天罡刀,迷宫,110761,1,1,1,1:10,30,76,76,46700001:9,0:100,0,2:100,1076112:1_1076162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711077,77级天罡刀,迷宫,110771,1,1,1,1:10,30,77,77,46700001:9,0:100,0,2:100,1077112:1_1077162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711078,78级天罡刀,迷宫,110781,1,1,1,1:10,30,78,78,46700001:9,0:100,0,2:100,1078112:1_1078162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711079,79级天罡刀,迷宫,110791,1,1,1,1:10,30,79,79,46700001:9,0:100,0,2:100,1079112:1_1079162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
42711080,80级天罡刀,迷宫,110801,1,1,1,1:10,30,80,80,46700001:9,0:100,0,2:100,1080112:1_1080162:2,0:100,1001122:100,0:0,0:0,0:0,0:0,0,0:0,0:0,1,1,1,0:0,0,0,0:0,0:10,0:100,1:10_2:10_3:10_4:10_5:10,0:0,0:0
